,UKF243,UKF248,UKF259,UKF260,UKF269,UKF334,ZH8811Bbulk
HALLMARK_ADIPOGENESIS,0.061407649637221756,0.06583225482059021,-0.010358613023887792,0.05627636819513768,0.07157026880702683,0.00972984077449746,0.10332340460668993
HALLMARK_ALLOGRAFT_REJECTION,-0.059381023565100194,0.02498539145363008,-0.07849425284794019,0.041356896197182455,0.08945178455083895,0.018214573041072768,0.07812618156709819
HALLMARK_ANDROGEN_RESPONSE,0.061938100793676315,0.0671193459090467,0.028804926013932374,0.0001387718061161869,0.07102745707990975,0.003102314934164155,0.07641525745228676
HALLMARK_ANGIOGENESIS,0.024975079980054438,-0.01546723359735682,0.03434863127002652,0.03863478033846883,0.12483773813763042,0.02784115352373585,-0.04434155705876258
HALLMARK_APICAL_JUNCTION,0.07366918468744327,0.04570538434635658,-0.04155084942924774,0.11036972233538646,0.12406263655781231,-0.0009174301919619911,0.09685546672853015
HALLMARK_APICAL_SURFACE,-0.03290645972329438,0.050700769606401415,-0.06674949721487762,0.04888164925952331,-0.027847822599980747,-0.036151093313920656,0.05204273129740766
HALLMARK_APOPTOSIS,0.046877739338612195,0.03515581029594321,0.012855545907303693,0.0073462723853156145,0.06589458746503195,-0.002412545275858773,-0.06279100784035815
HALLMARK_BILE_ACID_METABOLISM,0.055595831710439,0.022913424126069344,-0.008828940395289803,0.046329908051436546,0.06964044204353735,-0.06590189504732599,0.07999637073431318
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.06636910764273847,0.001072616250874607,-0.03870373830549017,0.020450518416653112,0.036405499720905427,0.01918673800606814,0.09677854133039122
HALLMARK_COAGULATION,0.013075699808014922,0.03577029770877599,-0.06797720959539023,0.02228394563811665,0.10996398477863444,-0.036573772108496015,0.04499935369672649
HALLMARK_COMPLEMENT,0.009112024542577795,0.003643997077743216,-0.05784439871374883,0.029880295388985224,0.12992673796620954,-0.009702748142682448,0.04781801581935373
HALLMARK_DNA_REPAIR,0.10853121015256206,0.05478751864857891,0.009814190631417571,0.04496035197717253,0.09480808319657179,0.05535059529208583,0.10059107905995888
HALLMARK_E2F_TARGETS,0.028010670747989023,0.036910470678085956,-0.048220070244630334,-0.007622939761338004,0.09934318496744514,-0.046281691094258934,0.06584798737422339
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.05438056777582817,0.061974144824650065,0.0072785983910178325,0.06100960659338107,0.1334416310227307,0.020134433640572966,-0.0436915471299274
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.07374657765593638,0.024509960988888153,-0.018936564414593557,0.04924237023910472,0.0634283940731062,0.014185786262980768,0.06660447575562224
HALLMARK_ESTROGEN_RESPONSE_LATE,0.04061469241496851,0.00208051708549811,-0.021456611725162243,0.03781826506761065,-0.04387368569433939,0.042497319835987944,0.09234917924540076
HALLMARK_FATTY_ACID_METABOLISM,-0.021092409711540906,0.029133065159020474,0.0244106109703695,0.019789593974989066,0.032659153755142036,0.03847813129015821,-0.018202065498249074
HALLMARK_G2M_CHECKPOINT,0.10793868773162797,0.04455310352853278,-0.006431582691482945,0.08590535208306294,0.09361834587820735,-0.008301598156631677,0.024799368232921563
HALLMARK_GLYCOLYSIS,0.07039761400484189,0.02234277831145584,0.09227973074287918,0.03867210396202523,0.0779669610875746,0.10293219734584813,0.049962224267371035
HALLMARK_HEDGEHOG_SIGNALING,0.07201559236689103,0.02440523232946999,0.005653697587801957,-0.005070740801172277,-0.06865470018253386,0.06537087703944555,0.08480390988320023
HALLMARK_HEME_METABOLISM,0.08724458883932043,0.007581644733835262,0.019000874321851616,0.03591913134981199,0.08269370071883013,0.038819246323183475,0.09823380055020375
HALLMARK_HYPOXIA,0.06656977311557362,-0.02873505489101603,0.07543994429683387,0.01568921802086283,0.002820527988313737,0.08604457435933201,-0.07638348537755119
HALLMARK_IL2_STAT5_SIGNALING,0.036790556261671874,0.032270445601645464,0.00737963960194735,0.08444679239991536,0.08518096986876379,-0.022362114457944088,0.0762702424611705
