,MGH258,UKF296,ZH1019T1,ZH8812bulk,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.08265510033010774,0.08951761060485289,0.009452889792191659,-0.005975002456717062,0.06718496195739251,0.060858225870559605
HALLMARK_ALLOGRAFT_REJECTION,-0.06694135924993178,0.03548059301837211,-0.05937289302365376,0.02367514946376679,0.05825643473706279,-0.07981483420835897
HALLMARK_ANDROGEN_RESPONSE,0.04228105308701992,0.08126648417467768,-0.07541255269867772,0.02392132400522833,-0.039911631690952146,-0.004959409286665146
HALLMARK_ANGIOGENESIS,-0.006607789073051247,0.10765317144457683,0.1468229972883578,0.0014599767513686123,-0.15831791239087176,-0.04577244399441598
HALLMARK_APICAL_JUNCTION,0.05443417142400658,0.0630042708246385,-0.012136480059988028,0.025201501854774353,0.0044318087954490345,0.02616796701999485
HALLMARK_APICAL_SURFACE,0.11097455541789912,-0.032285410148514715,-0.030716405704630422,0.005815464224064188,-0.023570589375643023,-0.002432852231812094
HALLMARK_APOPTOSIS,0.009628097682831455,0.02676827052843034,-0.03604800389481434,0.020458131452898296,-0.01058768851250493,0.02454384024619885
HALLMARK_BILE_ACID_METABOLISM,0.07879922219623377,0.045472914755721176,-0.03509552148127144,0.06563215631220787,0.11021059589251665,0.05751498888260174
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.043167752816189085,0.06042885820607999,-0.038729153801279594,0.032714531955864073,0.05022937232488106,0.05148784806884136
HALLMARK_COAGULATION,-0.11941617381947262,0.08248796486471907,-0.0425147361581707,0.0122224943814256,-0.052131335758793404,0.021531497742254498
HALLMARK_COMPLEMENT,-0.05762959380496144,0.02487994458405987,-0.03598500502845086,0.01834296091771557,0.059862064786670464,0.03395951675497184
HALLMARK_DNA_REPAIR,0.08924209980432567,0.10553319179093962,-0.06599831447556902,0.031281296551411986,0.09662761404808602,0.0720035273768324
