,UKF334,ZH8812bulk,ZH916inf
HALLMARK_ADIPOGENESIS,0.059317609624036254,0.05772572170266036,0.10779266802219066
HALLMARK_ALLOGRAFT_REJECTION,0.12084629624328497,0.06336116397043673,-0.06711554698706118
HALLMARK_ANDROGEN_RESPONSE,0.0717678058526417,0.057966411015443885,0.101961089826781
HALLMARK_ANGIOGENESIS,0.039199557486167706,0.003611814349982662,0.0069361258417249974
HALLMARK_APICAL_JUNCTION,0.08763314319238086,0.10459151232417734,0.1191442582155718
HALLMARK_APICAL_SURFACE,0.07304734570882596,0.09018961602583794,0.16542942979250647
HALLMARK_APOPTOSIS,-0.009624066900432415,0.04888436220249824,0.06332807994714577
HALLMARK_BILE_ACID_METABOLISM,0.07876947588566038,-0.012301724401802305,0.15033765861105014
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.09326251464320758,0.08732458806074966,0.13334960394113482
HALLMARK_COAGULATION,0.11148218954297356,0.06507237427748541,0.12109579493856182
HALLMARK_COMPLEMENT,0.023721679366866893,0.0305921510827178,0.13574911254987349
HALLMARK_DNA_REPAIR,0.07535935993186381,0.08568499596432937,0.12042758568114582
HALLMARK_E2F_TARGETS,0.10924928767586396,0.018567408971244877,0.10281122817330984
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.08771531569048971,0.027487278661123524,0.07187954620392129
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.027811065764235057,0.052566699010119046,0.0977611859460386
HALLMARK_ESTROGEN_RESPONSE_LATE,-0.010766631306156892,0.0397882990160279,0.019076772647672425
HALLMARK_FATTY_ACID_METABOLISM,-0.05134198418673197,0.010548140712180158,0.11155679756236585
HALLMARK_G2M_CHECKPOINT,0.07193466040708307,0.04998268816412795,0.10526523795213673
HALLMARK_GLYCOLYSIS,0.023145710727988947,0.04156319356520787,0.12307898887419039
HALLMARK_HEDGEHOG_SIGNALING,-0.02946274514430103,0.0113830276856262,0.07328776337102556
HALLMARK_HEME_METABOLISM,0.04189579732762737,0.06213637582491485,0.07742562193523807
HALLMARK_HYPOXIA,-0.038030753181079686,0.05336362889516957,0.02717253485614686
HALLMARK_IL2_STAT5_SIGNALING,0.08267889899770076,0.038603987166710874,0.13075397102692565
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.06838150912736361,-0.00037934302877737136,0.05735196436663802
HALLMARK_INFLAMMATORY_RESPONSE,0.03001822739986677,0.07806271542938951,0.07652826804291049
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.061280211013639646,0.06475781636417065,0.021627211189272865
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.09178426144271137,-0.013342072741429787,0.10193161830142929
HALLMARK_KRAS_SIGNALING_DN,0.08613672762518053,0.09947851637756712,0.07921572332518113
HALLMARK_KRAS_SIGNALING_UP,0.03788554313482541,0.05499462393892344,0.041308690652973476
HALLMARK_MITOTIC_SPINDLE,0.057314401373134025,0.06571190231769272,0.17594524136981324
HALLMARK_MTORC1_SIGNALING,-0.010454054092811688,0.03998341217289498,0.0730640712033242
HALLMARK_MYC_TARGETS_V1,0.08459069218908574,0.013792009912620367,0.13741777903432034
HALLMARK_MYC_TARGETS_V2,0.042966235234996035,0.06680597327588837,0.042231497226286614
HALLMARK_MYOGENESIS,0.02896085507417159,0.07929355325789256,0.12642649821507554
HALLMARK_NOTCH_SIGNALING,0.095087665941009,0.1108030620875951,0.05909231199328798
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.0376543496519768,0.061685842133988936,0.10906941492389031
HALLMARK_P53_PATHWAY,0.02269474277000003,0.09319436273786384,-0.030816404591517667
HALLMARK_PANCREAS_BETA_CELLS,0.01607503043277184,0.05338639649176348,0.048619861631510684
HALLMARK_PEROXISOME,0.05083165067861749,0.0652012199801484,0.052354613654389495
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.024694717418885712,0.051512753604764545,0.1275827737938463
HALLMARK_PROTEIN_SECRETION,0.04264151755910245,0.06674069660768248,0.11117637046438496
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.03487561455629561,0.012951462402114935,0.10256393998371603
HALLMARK_SPERMATOGENESIS,0.005511731162678311,0.047507512727875296,0.1561908821612038
HALLMARK_TGF_BETA_SIGNALING,0.10414438368933725,0.02682968861777103,0.08173318854136814
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.005544042156300315,0.03568329085344559,-0.03008897025923222
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.04584284051244795,0.05821799385386635,0.04977418654313294
HALLMARK_UV_RESPONSE_DN,0.0287669157587776,0.05880729390828979,0.13385181847481947
HALLMARK_UV_RESPONSE_UP,-0.014947417229325648,0.08110331220945823,0.108880623246737
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.11356223014539314,0.04996793390131779,0.21035827664888918
HALLMARK_XENOBIOTIC_METABOLISM,0.04870784555549728,0.07325275918884387,0.10290413163400784
