,UKF313,ZH8811Abulk,ZH881T1,ZH916T1
HALLMARK_ADIPOGENESIS,0.12181886573248395,0.09215730216360238,-0.014080229751624122,0.11155838546690156
HALLMARK_ALLOGRAFT_REJECTION,0.09134532692067118,0.08665244786388886,0.036669599372480606,0.12368554456353534
HALLMARK_ANDROGEN_RESPONSE,0.11866377573121827,0.11450511935813888,-0.004919432794332625,0.09240128707817624
HALLMARK_ANGIOGENESIS,-0.05833144249471744,-0.07180878762996198,0.02649086539637858,-0.006381405131510651
HALLMARK_APICAL_JUNCTION,0.1235851844251692,0.10145425302197637,-0.038449235199799155,0.1378458558845394
HALLMARK_APICAL_SURFACE,0.07874797621280655,0.06674307135947333,0.004650306371800536,0.148511610994918
HALLMARK_APOPTOSIS,0.05042519965982272,0.0017864622611589102,-0.025339868244488247,0.11142030462028735
HALLMARK_BILE_ACID_METABOLISM,0.1046959788388219,0.09842217747672809,0.017292969190007522,0.060287123082611804
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.11810180434273433,0.09762007009481517,-0.04863356390619727,0.08061674872017423
HALLMARK_COAGULATION,0.030402077297494817,0.0780874226324723,-0.0039013558526073138,0.14939544584170708
HALLMARK_COMPLEMENT,0.13305386122548252,0.0789510805499288,0.01133387087860418,0.09791548577872053
HALLMARK_DNA_REPAIR,0.12227416791319849,0.10526145254663179,-0.039992335712254246,0.07571633081845042
HALLMARK_E2F_TARGETS,0.08769925215845242,0.06803786991759367,-0.04023763807224758,0.0476807712198718
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.019507721538100084,0.015419436626833672,-0.011140928110584819,0.1159938631402394
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.043481542707019365,0.06652634568781841,-0.00852971946918438,0.08388690187857746
HALLMARK_ESTROGEN_RESPONSE_LATE,0.12626978137446654,0.07582569398358639,0.014885000768636863,0.023139718675819945
HALLMARK_FATTY_ACID_METABOLISM,-0.04672068216367007,-0.03477592136801228,-0.0009562168024665632,0.014700850898251794
HALLMARK_G2M_CHECKPOINT,0.10315222650666322,0.06453511380642396,-0.055542356207312814,0.03415312210136664
HALLMARK_GLYCOLYSIS,-0.02472104382833031,0.06995236601063737,-0.03259215381105186,0.058235100378140565
HALLMARK_HEDGEHOG_SIGNALING,-0.03218264672324373,0.05920452518325774,-0.04535775858656282,0.06553181391406163
HALLMARK_HEME_METABOLISM,0.11096852440759554,0.10883890729155773,-0.04724193869418584,0.08109443539803508
HALLMARK_HYPOXIA,-0.12493936195191287,-0.08931122150159518,-0.021895342125162122,-0.02801479797412601
HALLMARK_IL2_STAT5_SIGNALING,-0.0056146566846772585,0.0805888416455273,-0.0250176913605904,0.07544375205863618
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.11169214450544541,0.03774769847164352,0.016093215461199083,0.06152811794966177
HALLMARK_INFLAMMATORY_RESPONSE,-0.001841221415605444,0.029333602821621115,-0.00854250055293234,0.039740056808025066
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.13420271009383006,0.11010245465277613,0.011466961619821603,0.11680474897115337
