,MGH258,UKF243,UKF248,UKF259,UKF260,UKF266,UKF275,UKF304,UKF313,ZH1019T1
HALLMARK_ADIPOGENESIS,0.0561749312584274,0.001628994799128546,0.10825319348277426,0.03845494609513191,0.059164191194695626,0.06474383105163921,0.007564274721134319,0.1023653319502865,0.1169818176975771,0.15511579458888872
HALLMARK_ALLOGRAFT_REJECTION,-0.02760438827166331,-0.08938371178453727,0.01432533311332069,-0.03910560699082962,-0.0050806386557005374,-0.0380095469418772,-0.016732171386456048,-0.13338864586041815,0.06684610539012183,0.047881745776972295
HALLMARK_ANDROGEN_RESPONSE,0.08633482500363364,-0.025674916151724913,0.09812824601380947,0.041552605583050954,-0.03172811606721006,0.04839735701400484,-0.010463124960537444,-0.07676558992531712,0.0891102515934499,0.1109951987158727
HALLMARK_ANGIOGENESIS,-0.0014689662896341129,0.007924957964824949,0.021265458713146914,0.06863698113479459,-0.03231006370835792,0.03519730993334028,-0.0859525407299493,-0.11667166296910834,-0.03755101449846039,-0.010567649258057584
HALLMARK_APICAL_JUNCTION,0.07365808037936786,0.01392635986119518,0.12285701274043928,0.06810633713600031,0.12672283045739732,0.061601863617892716,0.00032132066336376284,0.03955493541150079,0.14186303109979403,0.08420942044002921
HALLMARK_APICAL_SURFACE,0.0400770395157503,-0.05194459881662965,0.09987823203086892,0.023013013936787882,0.08275059133272208,0.0676356027055175,0.04891303308892431,0.03409489977062233,0.11644074494204656,0.07568868930603403
HALLMARK_APOPTOSIS,-0.0004810501184580247,0.05371702126572299,0.036709915773889545,0.04700919478907582,-0.0594770981393715,-0.003697164186779958,-0.03166003510396061,-0.047000413178947105,0.026630443248866095,-0.01595023376548036
HALLMARK_BILE_ACID_METABOLISM,0.04838717913962043,0.036458185481901446,-0.017091185972736088,-0.009693450859546836,0.1405862973943754,0.10225202605996841,0.03630866322764502,-0.05540787525310896,0.06869553626752294,0.06510111633687343
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.051592747143816675,0.0521996522642635,0.04860375307268472,0.02186913814544772,0.06282317816606485,0.03054979301560302,-0.07369697742506358,-0.08565517280239027,0.13469873146190525,0.08336011070572844
HALLMARK_COAGULATION,-0.06597776372501031,0.06765224888313816,0.12384073670826218,-0.012015808208958782,0.011294588454223875,-0.065799127710757,-0.0078002811798548065,-0.15198089793159789,0.02467224429870382,0.07061580501676946
HALLMARK_COMPLEMENT,0.007864958388184524,-0.006262504647808686,0.06367427441440432,0.015870129203555898,-0.03090196391759989,0.007810225092628876,-0.03284454662987525,-0.06794337905145012,0.08279419453445773,0.09049318358365385
