,MGH258,UKF334,ZH1007inf,ZH1007nec,ZH916bulk
HALLMARK_ADIPOGENESIS,-0.04276944180475895,0.041986110208741705,-0.09007425978507931,-0.01633653033744073,-0.003958370266824893
HALLMARK_ALLOGRAFT_REJECTION,-0.028151785071088585,0.06949898964623322,-0.10312051234789,-0.02774136769690049,0.03209990248153336
HALLMARK_ANDROGEN_RESPONSE,0.021844289743704663,0.10112408181722117,0.03386114005441438,-0.048316899736495125,0.030883937311612174
HALLMARK_ANGIOGENESIS,0.007397774772188418,0.011688337892074314,0.02385948993989637,-0.008078533335811435,0.0637607728594844
HALLMARK_APICAL_JUNCTION,-0.012505823875837908,0.11676864333385806,-0.004159850491591615,-0.06154351256574634,0.04047709735295202
HALLMARK_APICAL_SURFACE,0.0017751821589712458,0.058529572247619864,0.06121874026048124,-0.023513308396684997,0.07200665978334533
HALLMARK_APOPTOSIS,0.0035664564024882827,-0.0226635827147368,-0.16921732625112743,-0.034285234332117324,-0.01660508850184388
HALLMARK_BILE_ACID_METABOLISM,-0.01468196747243958,0.10731458943307175,0.014756362248451487,0.020900091127713027,-0.04453399978844323
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.030837937713049345,0.08729817394654034,-0.0420712164912031,-0.024682852587230728,-0.03893073817977691
HALLMARK_COAGULATION,0.01853508225485331,0.08508986037280632,-0.07752148387161129,-0.1624119388486221,-0.005306414829468847
HALLMARK_COMPLEMENT,0.03094695950035106,0.02729843714344822,-0.12078079672931179,0.0018138944581874243,0.004801269875242243
HALLMARK_DNA_REPAIR,-0.018755801222925413,0.09401210320932109,-0.045239560937249186,0.005449005889280984,0.03309725871277124
HALLMARK_E2F_TARGETS,0.031261088828357576,0.09576281837130246,0.16981573912348893,-0.013424196616237411,-0.009419507734688424
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.017818899086537995,0.09189155641735872,-0.01723139463470231,-0.15889272586376846,0.04265655231136565
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.012055666580133583,0.017513762697880606,-0.05016271595813648,-0.061097480405069696,0.013347256948772548
HALLMARK_ESTROGEN_RESPONSE_LATE,0.021846518245168544,0.0025248172392908505,-0.03544737216578625,0.06853619350353153,0.0035392866711483092
HALLMARK_FATTY_ACID_METABOLISM,0.04625898710012964,-0.013877828960175713,-0.05474929134563508,0.03827004755370383,0.011431263815000179
