,UKF243,UKF296,UKF304,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1
HALLMARK_ADIPOGENESIS,0.10713507006654807,0.037253352951896156,0.019221679248269497,-0.012746142380871272,-0.06313928178566532,0.1296158476568965,0.20913466500543235,0.13510065080852313,-0.02304979752034912
HALLMARK_ALLOGRAFT_REJECTION,0.041970421202208834,0.01582895193131921,0.07099036725246811,-0.00461013187166834,-0.044385840692528,0.03865734382189863,0.16703348303095197,0.08473632527503457,0.023599790103580025
HALLMARK_ANDROGEN_RESPONSE,0.031452740347871835,-0.02103044194173851,0.07801114943488563,-0.01106543410262819,-0.10909077824991713,0.09574350433232859,0.1923766125973893,0.13675334705952452,0.040308744227929974
HALLMARK_ANGIOGENESIS,-0.0037809452999488058,-0.050321426360722045,0.03019676660978732,-0.003311360748883396,-0.02713292673373632,-0.026846490177969577,0.008981426381853537,-0.05132191585863258,-0.009881567082347342
HALLMARK_APICAL_JUNCTION,0.0794799169513677,0.042206179061307594,0.06980949542719428,0.026976972503643643,-0.03351804863509531,0.10668187437294498,0.19527361254023423,0.15431364971007436,0.03170157239852056
HALLMARK_APICAL_SURFACE,0.0740948620148578,0.06739457444728914,-0.029554828560975164,0.0022626917589012,0.0589038292085833,0.0747253677946558,0.12958509171104343,0.14137806690053015,0.01099851639206406
HALLMARK_APOPTOSIS,0.07112709080718513,0.01953773163088321,0.03545076824219852,-0.038371058238719155,-0.08303598958524076,-0.07183946320817679,-0.01818150073733924,-0.02493102945733358,-0.061047024229819176
HALLMARK_BILE_ACID_METABOLISM,0.05400518381001695,-0.007489851060533708,0.03402406581470336,0.04032228327206477,0.02294708587344726,0.14398584173251477,0.11525122518416854,0.15219228646219515,-0.02643617482671055
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.0722284957445156,-0.03275943102823419,0.04615601668580014,0.0345758366360638,0.08348895031779273,0.10274263924685832,0.2016462033870266,0.13357785286026747,0.013438921093811883
HALLMARK_COAGULATION,0.04650451543396262,-0.013725896675550455,0.04526030478761803,0.01694868703677754,-0.09114707341347102,0.08667699985633151,0.1788024976364598,0.09955903846132359,-0.03386441597262186
