,UKF248,UKF269,ZH1007nec,ZH1019T1,ZH8811Bbulk,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,-0.01663642407558835,0.09793879282239182,0.11227300836323344,0.14610940104059278,0.05518721627941198,0.09599234760716055,0.04118657537580663
HALLMARK_ALLOGRAFT_REJECTION,0.0049697753870998045,0.1169454665048481,-0.016036416429023575,0.11013941986143551,0.0699330023806601,0.07781224364966176,0.018531277421319835
HALLMARK_ANDROGEN_RESPONSE,0.002394935460555892,0.12144993140048947,0.028707015551323118,0.14376725722242645,0.06241210160151899,-0.007274904692175621,0.005090495550992331
HALLMARK_ANGIOGENESIS,-0.015669254554870435,0.12518584090232457,-0.018215693799162047,-0.13351412251444822,-0.10679453884603103,-0.09163832823027923,-0.01790865929235134
HALLMARK_APICAL_JUNCTION,0.004089655694240826,0.11741600710675142,0.13980167122340195,0.17923890461213107,0.07366470593995418,0.032938015248296586,0.05290964522165176
HALLMARK_APICAL_SURFACE,-0.01190794783605448,-0.08605544417568817,0.024666157597147183,-0.02067496717980174,0.08977329255787865,0.0400842785063655,0.10916171076490419
HALLMARK_APOPTOSIS,0.038240793965484875,0.018311754954572632,0.07138721644967004,0.05591287742086997,-0.032804592200808995,-0.017002577185053935,-0.020772222417344947
HALLMARK_BILE_ACID_METABOLISM,-0.03374176636510106,0.13148928875964128,0.015966372508858784,0.03269882740377591,0.045888738792547894,0.0857594880243028,0.0872276947452727
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.042870715337209396,0.09414744211603122,0.10958539804197324,0.0951197015709525,0.08024502831658244,0.03340204200999355,0.07714848697819854
HALLMARK_COAGULATION,-0.05422624617128551,0.10704173521127501,0.08124999748975499,0.12800406676226614,0.026169203047447454,0.01622588569726266,-0.0632414304335026
HALLMARK_COMPLEMENT,-0.013619960294017868,0.12070119426985745,-0.01845891379188151,-0.023326098655302382,0.030441972960597377,0.055193175559822075,-0.011788624248858584
HALLMARK_DNA_REPAIR,0.026566826985829833,0.1627581566060098,0.07827126500499429,0.10342952134697125,0.07698122099890756,0.10545480225762026,0.07099726297211378
HALLMARK_E2F_TARGETS,-0.007364784876612583,0.15966055365936094,-0.0349189183968064,0.05608443144315069,0.0650415284475476,0.07915561723289746,0.060524352292076714
