,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.007684161875753261,0.027908271215929464,0.12559851004189704,0.06119923048810007,0.10492500302212622,0.023034907785145206,0.029882680228203784,0.0720945327690954,0.03198851216721495,0.11451336729374066,0.201042645103557,0.1027873041885792,0.09693054417906971
HALLMARK_ALLOGRAFT_REJECTION,-0.03113605834326146,0.025260791573350386,0.09606164694423973,0.0091771894331896,0.10571475314506756,-0.026859092437388724,0.07630245139564713,-0.1349429790110913,-0.12591592260069853,0.05633188474810395,0.09182112723213084,0.02110080653719963,0.05889244814844821
HALLMARK_ANDROGEN_RESPONSE,0.04019282926058187,-0.0254655075972673,0.1192561266430175,0.07814157563948086,0.1095704149811338,-0.051529955928655516,0.05537416545621068,-0.04158098359799458,-0.07702660062274429,0.12683044123938994,0.1427789688010833,0.0472479874263671,0.057907168438899564
HALLMARK_ANGIOGENESIS,-0.02592991589432698,-0.057385431268379083,-0.1322860959707934,0.009821091096624842,0.08919218982523319,-0.006553328823218661,-0.02320493152796847,-0.13787361335552545,-0.12319762214088685,-0.049696622522074255,-0.1944519231004051,-0.0606428027303272,0.00847799478797877
HALLMARK_APICAL_JUNCTION,0.023378310703708254,0.03153499109101938,0.03407995768313788,0.08082499422444915,0.08699297471725065,-0.006852380151943122,0.014587932801865934,0.08938830279559407,-0.1072682482447953,0.1503164712109166,0.16928885961054915,0.12040069744252072,0.047865788308309336
HALLMARK_APICAL_SURFACE,0.02817897542085169,0.07353484961119892,0.07107324775522454,0.018849742131984072,-0.018688120042481462,0.004722084029869669,0.04950492048043791,0.1545162322366973,-0.05894912359848993,0.14551295671367645,0.12717626081255198,0.049569962435859094,0.015561949029430143
HALLMARK_APOPTOSIS,-0.02122808427098493,0.02083395398170829,-0.043886214498471576,0.009753351510211767,0.04331487876612551,-0.028529364632210716,-0.025512438863073018,0.023794385555093226,0.0726850804736781,-0.08180043881145613,-0.08342782645827031,-0.03332717187953851,-0.026242658123406138
HALLMARK_BILE_ACID_METABOLISM,0.0355800424149383,-0.04320324883814477,0.061050518399869115,0.08194950870715027,0.059856388385893494,-0.004389269177585911,-0.004207462132518732,0.060495660651566564,0.006483256777819118,0.13254589734217612,0.1414208976322357,0.05823803698623631,0.13169992098602515
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.038322968167663354,0.003525422691413137,0.030280789264090616,0.06249219504689175,0.05580882720808562,-0.02282718879179994,0.02240896418370255,-0.02712381771225455,-0.10799008308493402,0.15377054298427653,0.20667100317663192,0.101812815761075,0.05487328976818509
HALLMARK_COAGULATION,-0.03195456292911037,0.08582044065002065,0.01273918885671704,0.014390414541291453,0.10082160813557556,-0.0018446083491523433,0.009850122254183661,-0.13653327290395917,-0.11470466159998698,0.06813964101287169,0.09911463226690194,-0.022082708576763786,0.011434161617161289
