,ZH8812bulk,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.006559738192983845,-0.0038015319713611013,0.02412082313456695
HALLMARK_ALLOGRAFT_REJECTION,-0.03611245003643305,0.03680312286536728,-0.0401659722058234
HALLMARK_ANDROGEN_RESPONSE,0.011432621159842444,0.025508317461564824,-0.05283871113789926
HALLMARK_ANGIOGENESIS,0.014141058419463575,0.0412621371690784,0.02504319229758402
HALLMARK_APICAL_JUNCTION,-0.0018978266628820037,0.005573062813961977,0.01304911057269156
HALLMARK_APICAL_SURFACE,-0.004824270028667785,0.021657025829591645,-0.05108597490506455
HALLMARK_APOPTOSIS,0.04843406000825461,0.014217911028433346,0.010183362012680231
HALLMARK_BILE_ACID_METABOLISM,-0.06954424035595995,-0.018039296690527083,-0.009372690576885978
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.010374325732886023,-0.026367097842294414,-0.013780867307557227
HALLMARK_COAGULATION,0.014308066903153616,0.03192167635087247,0.002429724474775487
HALLMARK_COMPLEMENT,0.04234497313372989,-0.013927334488117785,-0.019166049529335382
HALLMARK_DNA_REPAIR,-0.04679697573972207,-0.04461863807669552,0.020862864668939527
HALLMARK_E2F_TARGETS,-0.02864494998498063,-0.05314195933352739,-0.020324975305488487
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.04783580868080286,0.05552052735625057,0.013505755445796139
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.06486711937515696,0.0072075704339153,0.03219310086897672
HALLMARK_ESTROGEN_RESPONSE_LATE,0.027706420028537532,-0.037842539075171516,0.020120338036817627
HALLMARK_FATTY_ACID_METABOLISM,-0.03526606917543699,-0.05508263083810991,0.054995472197883435
HALLMARK_G2M_CHECKPOINT,-0.018027449131455302,-0.028204316038804984,-0.02627695717998484
HALLMARK_GLYCOLYSIS,-0.016853886005219205,-0.04714479611939541,0.049239702852223656
HALLMARK_HEDGEHOG_SIGNALING,-0.026025528005414817,-0.07026923100086267,0.022838876485788074
HALLMARK_HEME_METABOLISM,0.013567734355013402,-0.029979734529659584,0.01561213404121863
HALLMARK_HYPOXIA,0.02476279141606077,-0.06320611394347073,0.06063858485286607
HALLMARK_IL2_STAT5_SIGNALING,-0.02471776595034695,-0.024612202554962548,0.020953194723295522
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.022812588251931797,-0.018648000462153144,-0.020420659572464448
HALLMARK_INFLAMMATORY_RESPONSE,-0.03531602219278102,-0.03967906858430134,0.03627739384015232
HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.031309860041103796,0.008209088065305311,-0.03849005755176217
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.0346077411146329,-0.0005082592764031755,0.034360078578070406
HALLMARK_KRAS_SIGNALING_DN,0.012243628706531189,-0.0036505752128432396,-0.013296209636623507
HALLMARK_KRAS_SIGNALING_UP,-0.03180511330268098,0.016643503136836265,-0.009827174708617516
HALLMARK_MITOTIC_SPINDLE,-0.0031680306866266115,-0.024531130787823572,-0.009184589280600541
HALLMARK_MTORC1_SIGNALING,-0.054423073711270364,-0.029195265274983274,0.04486292602747982
HALLMARK_MYC_TARGETS_V1,-0.08166925862679364,-0.029230017622648798,0.022195817723245564
HALLMARK_MYC_TARGETS_V2,0.03069784081803108,-0.05727670094962558,0.014714848534453876
HALLMARK_MYOGENESIS,0.03514581721739143,0.024159621496151227,-0.030626262160642997
HALLMARK_NOTCH_SIGNALING,0.0011719126501297944,-0.009956179294243759,0.004887095988883112
HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.059151938461069815,-0.04039589627470449,0.003753733350709483
HALLMARK_P53_PATHWAY,-0.028222123673985258,-0.026566845944596663,0.018049975895746886
HALLMARK_PANCREAS_BETA_CELLS,-0.0129555241184311,-0.051060234746496305,0.0050765527431280225
HALLMARK_PEROXISOME,0.004681427738527046,-0.02630378334397731,0.004456582869908808
HALLMARK_PI3K_AKT_MTOR_SIGNALING,-0.04440853684662872,-0.0026658273588567698,0.0001749001807844318
HALLMARK_PROTEIN_SECRETION,0.0037932925181689107,-0.016593644407505843,-0.0027048025269276084
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,-0.08316660457471628,-0.005096142808089121,0.059188048125776244
HALLMARK_SPERMATOGENESIS,-0.054356230921258,-0.03570443320222485,-0.02385788580563461
HALLMARK_TGF_BETA_SIGNALING,0.01913548268555747,0.03590122202603722,0.0005639319831576762
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.041933589725793426,0.0015453953078029446,0.013742072318068597
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.05190844353381762,-0.030693435163904683,0.03620492448013307
HALLMARK_UV_RESPONSE_DN,0.01948319293390633,0.07965917025235118,0.03731109804549602
HALLMARK_UV_RESPONSE_UP,0.006389983890093439,-0.025132990828471126,0.007441700864777527
HALLMARK_WNT_BETA_CATENIN_SIGNALING,-0.005542459932625923,-0.0188132902271798,0.05165799045836603
HALLMARK_XENOBIOTIC_METABOLISM,-0.021494887525193046,-0.02179445012076023,-0.01425478274364205
