,UKF304,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk,ZH916inf
HALLMARK_ADIPOGENESIS,0.07860632558632068,-0.004223484693483914,0.038078830743456527,0.06140115804741765,0.05538275422083159,0.021865991798719814,0.10395215155389165
HALLMARK_ALLOGRAFT_REJECTION,-0.11064352416380639,0.07466265815371415,0.0354771445622872,0.017711969384597025,-0.04801624086520238,0.04564790343297714,0.034614682295672466
HALLMARK_ANDROGEN_RESPONSE,0.0013586930731771102,-0.03129065872062057,-0.00356766312605998,0.045294593917201774,-0.028390386562732826,-0.0020529396879631983,0.1041811949415388
HALLMARK_ANGIOGENESIS,-0.13340628242954528,-0.007113815916636596,0.018079666166589115,-0.06446097908398661,-0.08957313853436395,0.04223555513713737,-0.09523919495747749
HALLMARK_APICAL_JUNCTION,0.08960194572500536,-0.04389262662526675,0.058900912483405565,0.07192405054370649,0.05463524546068117,-0.02598101969713079,0.1810050156250443
HALLMARK_APICAL_SURFACE,0.03695889057248185,-0.007910795870317752,0.002807575881167768,-0.014538843760043616,0.03673269067063883,-0.007970783015821232,0.16536532318126226
HALLMARK_APOPTOSIS,0.03909716384210871,0.025911056510258705,-0.009201530783603893,-0.009171002210750711,-0.03941167351264426,0.06952419240563987,0.03976155088602309
HALLMARK_BILE_ACID_METABOLISM,-0.003822990283440046,-0.02223986559925485,0.05138609512951385,0.0481905697461293,0.009934057592488551,-0.013816854709219612,0.000991112989071201
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.040620671081400016,0.023556774033896735,0.04724192123788591,0.04262332842649168,0.0190873591370047,-0.03096494081491573,-0.05062850011758494
HALLMARK_COAGULATION,-0.08853630250528681,0.027144880695549305,0.0436462652162627,0.03989008735415306,-0.03165952372011586,-0.002230527827191477,-0.07384730497027739
HALLMARK_COMPLEMENT,-0.05395523500583771,-0.005432704262507692,0.04814423502776374,0.018678982703065117,-0.010803340289786063,0.02703684069942466,0.07760167871262175
HALLMARK_DNA_REPAIR,0.12614802873586758,-0.03098129185432456,0.029637764463484862,0.05836470848292571,0.06962752659905873,-0.03235487822501272,0.15409460953125448
HALLMARK_E2F_TARGETS,0.07765571028770409,0.010172598926918236,0.011256653710917549,-0.012511296009010632,0.035784533762416144,-0.04985046203361152,0.11534015066675564
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.05062983832804729,0.05390490875988665,-0.011991008642145357,-0.009321664586334924,-0.013784375142927257,-0.013111066576427832,0.07429135052818749
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.06811894967093957,0.06507005191805504,0.07994712156141857,0.05121107041544372,0.07598979822071471,-0.013502741384219176,0.0765512558754594
HALLMARK_ESTROGEN_RESPONSE_LATE,0.042597725198209445,-0.023704276961638276,-0.01940162089390831,-0.007552704317714273,-0.02899973777600756,-0.02839624649669524,0.0989502696516439
HALLMARK_FATTY_ACID_METABOLISM,-0.01919126573424396,-0.044312277570255666,0.0022098747595218882,-0.001126602915353815,0.0038206335664069833,0.09530422566870854,0.04221762029969182
HALLMARK_G2M_CHECKPOINT,0.06342824822160453,-0.002265733307170488,0.052103988806349595,-0.004302900538306541,-0.026602261770130944,-0.009630903979356766,0.1454921083937653
HALLMARK_GLYCOLYSIS,0.10981397015643328,-0.04948235375578555,0.07511581394770177,0.02021155612323163,0.04194293537901012,-0.006180199343625442,0.20821762556719575
HALLMARK_HEDGEHOG_SIGNALING,0.09894519146515356,-0.04957855131735612,0.0843364750170198,-0.013212815913067456,0.04978605885626751,0.03901433085895468,0.15391293142668389
HALLMARK_HEME_METABOLISM,0.10616966141213735,0.010949727995974387,0.034420785929021015,0.03633059018263868,0.04367107351361937,0.004869849863235299,0.1535528154984775
