,MGH258,UKF248,UKF259,UKF269,UKF275
HALLMARK_ADIPOGENESIS,0.1358567581363849,0.06032504724396535,0.036882979087951524,0.10765144617570231,0.0790781265286946
HALLMARK_ALLOGRAFT_REJECTION,-0.10127623583206002,0.023991313435109823,0.022719392973464644,0.16140046791719395,0.12537158044158134
HALLMARK_ANDROGEN_RESPONSE,0.09458875708088459,0.08369723770195685,0.028019415051505393,0.15246903568837805,0.12189651630444996
HALLMARK_ANGIOGENESIS,-0.07403607699926486,-0.008481308996586749,-0.022284749605775058,0.18321372656387114,-0.05244877670285914
HALLMARK_APICAL_JUNCTION,0.1461715130481879,0.06009900887904716,0.009907761740174388,0.17449920411606662,-0.011300422285813756
HALLMARK_APICAL_SURFACE,0.1515556286982339,0.026387442784366406,0.009190053034210686,-0.12366863299516627,0.09513543251223248
HALLMARK_APOPTOSIS,0.019148394530620554,-0.002716034831658089,0.005381984467960434,0.01559711121856771,-0.03681791283345056
HALLMARK_BILE_ACID_METABOLISM,0.17401539564249782,0.02447514113172458,0.030952597109964695,0.1815880501517958,0.009655223973592638
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.07213431944140612,0.06313971352418608,0.0605054515123989,0.08818343401520955,-0.08642439412063853
HALLMARK_COAGULATION,-0.13182735304519444,0.058547658697645444,0.01127687784674623,0.12948714618438822,0.023676208758607126
HALLMARK_COMPLEMENT,-0.013045123183490293,0.0797737066828311,0.019774543448546407,0.16344930306739186,0.05102131035780625
HALLMARK_DNA_REPAIR,0.16974472913141986,0.0651228458623382,0.0015211015734340045,0.17869258090377532,0.11391099956278208
HALLMARK_E2F_TARGETS,0.1472661603119368,0.041170306246037576,0.05295679113896438,0.1775067721720182,-0.006925679344497679
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.11562259515798055,0.030721449749617012,0.009690842508815689,0.1694255445723995,-0.061282531482340835
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.044271246586653726,0.03595110278456452,-0.006939123650923327,0.10617951307839286,0.08187108173478352
HALLMARK_ESTROGEN_RESPONSE_LATE,0.02576076928924518,0.05944754079881767,0.054824939687693676,-0.03276891723667412,0.04816121247339308
HALLMARK_FATTY_ACID_METABOLISM,-0.05271536239061002,0.020047510323732323,-0.039115082601352665,0.08321430759303435,-0.03444666386911773
HALLMARK_G2M_CHECKPOINT,0.11436216144806344,0.04857809760108488,0.003679854714854864,0.17167678306603049,0.019754389550568834
