,UKF243,UKF255,UKF260,UKF266,UKF269,UKF275,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.07503529884165362,0.06932590615593194,0.009303145257738376,0.02343996391417858,0.08287085018705857,0.004253868965113223,0.051774142007000354,0.09285292244130557,0.05953822003568647,0.04054119014571979,0.15625556464536877,0.018651814211914385
HALLMARK_ALLOGRAFT_REJECTION,-0.040750787724020666,0.08839291466615118,-0.0378607514442652,-0.054895656510672644,0.03727381142595877,0.04505551371179924,0.12887574383859945,0.0827799414376529,0.02292288023296188,0.05911146901902316,0.06307046411685761,-0.037960853507235465
HALLMARK_ANDROGEN_RESPONSE,0.05000352569187792,0.06378417871810146,0.041694016713357325,-0.02745273252598494,0.04656657245723528,0.03372336906161282,-0.0034262200726562792,0.041751078633702136,0.07184293223642162,0.022796664030539614,0.0919912684919257,0.030337971996738232
HALLMARK_ANGIOGENESIS,0.012919904594892295,0.006016725652564321,0.020352231996279568,-0.054131273544931045,0.0394968933558903,-0.00648421965244982,-0.09471498357516676,-0.06588436548182715,-0.07123130380236922,0.010570318076199032,-0.1278656076070701,-0.020781217457893613
HALLMARK_APICAL_JUNCTION,0.0048389132720911415,0.05688539068841478,-0.010873000918654152,-0.006050770596882263,0.049742964042786726,-0.0042617094119561825,0.07802942323500624,0.059667369484906,0.05088301169066267,0.0649935989047441,0.11251955440373262,0.018856638999750562
HALLMARK_APICAL_SURFACE,0.05725069106618832,-0.014210573907740914,0.02384749853916067,-0.0001271056475836775,-0.04261632501940333,-0.04335578836950369,0.006001873641534508,0.033234910120300436,0.03245163979518671,0.060014956398718754,0.11864582369543387,0.005672162073654507
HALLMARK_APOPTOSIS,0.001277666251645682,-0.04765302232716262,-0.034740898869309984,-0.036111344174255974,0.00736610277336182,-0.009368168574130734,0.028773317049602145,-0.08579100838639939,-0.02229808064597829,-0.007708365850315287,0.0911422341369523,-0.049615642117619686
HALLMARK_BILE_ACID_METABOLISM,0.07389975358665173,-0.006859303739891851,0.027933607336126084,0.007629892051792755,0.0560007225572624,-0.03272863141094834,0.05241136896246371,0.03546727248220042,0.02157238660259527,0.08425957146453587,0.1654216362548494,-0.007033128121907164
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.01684547806127952,0.015418228011829745,0.041142548177834505,-0.07797488437099705,0.038347142162560986,0.017921693647538046,0.04475842207206101,0.10063890980969194,0.05240849961166243,0.015456198947303176,0.16416315046567195,0.07393260444511772
HALLMARK_COAGULATION,0.058848001364830954,0.024359558388771657,-0.06736742717672996,-0.044680441305432965,0.02274148344543732,0.005229604703804672,0.08051792162009704,-0.00574470879192709,0.03275249342394812,-0.01522400016346011,0.04549879370111117,0.009465809751220296
HALLMARK_COMPLEMENT,0.003076042318267361,0.04773672189046113,-0.024587826747279832,0.01900418366942912,0.06451643875025663,-0.0007182336797074077,0.052622897317115315,0.011801415590638877,0.03682736260455902,0.08272470553352798,0.1635841955452349,-0.0110291048230876
HALLMARK_DNA_REPAIR,0.06442971176028979,0.09653230073091597,0.06135315208755487,-0.0035030278351360967,0.08376043594474432,-0.011095129820987305,0.01190437675555387,0.07032800398494761,0.060393624620619826,0.052976213380849214,0.16503792152795024,0.045381750237458954
