,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH1019T1,ZH1019inf,ZH8812bulk
HALLMARK_ADIPOGENESIS,0.05791263510220445,0.08026239410133729,0.07914595581429851,0.04629813029078847,0.1224466469450851,0.09812822032299008,0.023040320070945686,0.018964376980097897,0.0053924861899616655,0.09936293700737452,-0.1060174623108526,-0.006898219147423763,0.011223632399894557
HALLMARK_ALLOGRAFT_REJECTION,0.04330571951107878,-0.007151532993754869,0.11222863248586443,0.03661759159795344,0.15030302621085445,0.031162334890215918,0.020322777639133156,0.035860393494769494,0.04870676243101409,0.11527659071819041,-0.004956285882026685,0.013106033852825256,0.025198369487654998
HALLMARK_ANDROGEN_RESPONSE,0.05027758189913371,0.048335712942040095,0.05033163050458669,0.05304406003749001,0.19035494863199715,0.061437828095848995,-0.013376707774790584,0.03599299976845636,0.015712827740306738,0.12826071593240426,-0.07708328102646991,0.00524784263274137,-0.02289639029283681
HALLMARK_ANGIOGENESIS,-0.06828372101927796,0.07617336379721795,-0.0914202080709971,-0.055508228203882196,0.16852376162489513,-0.027826427167062615,-0.05947766210110635,0.03656215929464529,0.03691457295066154,0.06478644930034479,0.033235966812593463,-0.035591931362098365,0.0032863035833265086
HALLMARK_APICAL_JUNCTION,0.040567842835757296,0.059603462363907594,0.07088592222069548,0.01446778544597128,0.16680867526584398,0.016583268008305205,0.00664059527550368,-0.009649455412795244,0.041570847704620266,0.13595839690652262,-0.04336096667284309,0.005898527170316056,0.00493008172837875
HALLMARK_APICAL_SURFACE,0.05345148018750409,-0.022166191135720492,0.08406598953964091,0.030285777213501588,-0.09568012180104732,0.03155130946813493,-0.0019944061346901664,0.054249917784691716,0.02064452361761506,0.0317802810842424,0.10923559357818258,0.09696114115054925,-0.0436361434827013
HALLMARK_APOPTOSIS,0.013026934375761294,0.00964729656149058,-0.034618888114374434,-0.053786047149779366,0.06386147119300498,-0.03270885707140452,-0.008726824703460033,-0.022259271126105536,-0.021563126736647245,-0.0016707908998811435,-0.015454871837052285,-0.06560687651898,0.023432785683873837
HALLMARK_BILE_ACID_METABOLISM,0.07358355541708045,0.015241554733711627,0.05589701538022025,0.006410567240027314,0.1904696443788844,0.03274053558021449,-0.007448367194153628,0.004187073730820416,-0.014159801825102018,0.05351907620594011,-0.0005984158075048416,-0.02845406174447322,0.08297525779671337
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.08001037147074695,0.030490925843576763,0.1126959803838258,0.02110241571682936,0.1636686124655142,-0.05584999186746689,0.053047428462720196,0.05912047186618822,-0.0005723864350137603,-0.011515538455549866,0.01855269230009335,-0.064710504837376,0.01353506511429205
HALLMARK_COAGULATION,0.03713468700222488,-0.024887734378604517,0.08970107578892854,0.027879477960111386,0.14907030221727618,0.0989402865500118,0.025558727040071037,0.036961863853719884,0.03031398181823235,0.14946623757354655,-0.06848674259405774,0.011124799068432334,-0.019662899140933672
