,UKF266,UKF269,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.03871950456202752,0.07115012809389087,0.013468452103779387,0.06782529250884584,0.05552672398479118,0.0775867233110064,0.06797470648883622,0.01341565678893525,0.10854180277967028
HALLMARK_ALLOGRAFT_REJECTION,0.046720985043577024,-0.009800827216939818,-0.0014002084043189737,0.14224340582885878,0.0030250263515363535,0.04359523824600525,0.10210239203588571,-0.0663110455609673,-0.035108032206287554
HALLMARK_ANDROGEN_RESPONSE,0.003929239756744434,0.03994486039052237,0.029918678283550958,0.11603774442796523,0.0917198150104704,0.07264062200609309,0.07570929400568557,0.02738219441682593,0.07824294702475672
HALLMARK_ANGIOGENESIS,0.0020451126269404453,-0.012752919566936687,-0.009410772702524028,0.03583608600472416,0.04650324816904884,0.005736432183412326,0.025066681263508098,0.004828617625721503,0.048783208240310905
HALLMARK_APICAL_JUNCTION,0.0003652287871112592,0.02408638744499091,0.060608424689392405,0.07938225938200279,0.06895599157925439,0.061799335499619544,0.0673176307401062,-0.01585656680296582,0.09168183203573356
HALLMARK_APICAL_SURFACE,-0.01771158368282401,0.06819152145850915,-0.09004378144423475,0.018867388130303888,0.06477464346069105,0.05462593406222085,0.14370899602401582,-0.033443596389605965,0.08505105785236013
HALLMARK_APOPTOSIS,-0.007727786182625427,-0.015336936842503895,0.0712609302646837,0.03807584780345426,-0.0035323350857111697,0.025637243778360255,0.0118205704467035,-0.004336015442644857,-0.05001731582463088
HALLMARK_BILE_ACID_METABOLISM,-0.04152664438423206,0.017764438294322792,0.02810838574020272,0.05172022544793475,0.05999042513221995,0.06712688903171647,0.011079474256522554,-0.010977928881426386,0.1266992513458192
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.030028720890458025,-0.011315728199592602,0.0268361589674238,0.015728987798216156,0.11305795154515742,0.09445945943687271,0.04087907938439398,0.07894758510963891,0.12320587853182145
HALLMARK_COAGULATION,0.010521405633129925,-0.03038916742972318,0.0009760649486300291,0.13571291802932645,0.06807313550003549,0.07865866264314555,0.010239420918865488,-0.07447642462041897,0.013471815082963563
