,UKF255,UKF260,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.06316405800598973,0.030882320263804476,-0.03820292711523087,0.018278445834861472,0.14642226990047,0.07082861830532106,0.10617513982555671,0.16846639042579964,0.0853558985555324,0.18557096281142474,0.15250778259485534
HALLMARK_ALLOGRAFT_REJECTION,-0.08128309880121237,0.0030247566790902705,-0.09346426731366397,0.03775663275638731,0.08966288333593003,-0.035057822849291466,0.09277673474141318,0.08943016544917147,0.001907416885335835,0.21699264715907476,0.006764567006631486
HALLMARK_ANDROGEN_RESPONSE,0.06839937376668619,-0.010473774163276215,0.042229961900356855,0.0329821910759567,0.05686140189518552,0.08806685615222788,0.0849286995918148,0.09650621419128967,0.00236340087173136,0.17372758884690354,0.09620772249299983
HALLMARK_ANGIOGENESIS,-0.009973698806310854,-0.09948599587482707,-0.01585131071019159,-0.02985972269353096,-0.03531657624892773,-0.10691684759332065,-0.03495001607626445,0.1296500144375103,-0.026684024301358213,-0.09838291205168369,-0.03758086161237728
HALLMARK_APICAL_JUNCTION,0.05310377223178956,0.045827018592978934,-0.021628104027694054,0.03518685477516405,0.1462023253667051,0.11534707696040632,0.10375170349768835,0.15531534246069373,0.1422500217809389,0.16808360215669046,0.10839711984842026
HALLMARK_APICAL_SURFACE,0.037774449428045476,0.031161228565987374,-0.09576882775877169,0.07228709779008786,0.12353906757192225,0.08883923761091586,0.12221649363789668,0.14669823555630712,0.08018240277917649,0.15025978059929465,0.07477915790178574
HALLMARK_APOPTOSIS,0.07594979682091288,-0.029284879356891468,-0.022860110445429353,-0.004276614957142143,0.022207114190842626,-0.11073073995827325,-0.055624322459969164,0.09053081055776055,0.0036423093959263514,0.19769913289206312,0.017857002163314064
HALLMARK_BILE_ACID_METABOLISM,0.037324342872359265,0.031772231491994686,-0.05114970516580254,0.07149282374472044,0.14109348563986268,0.0927241756860565,0.08778916068222095,0.07274099811645633,0.032120103779053825,0.1344506208169313,0.12974515966052733
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.016073897888923036,0.006137243525619638,0.029760053428602887,-0.01988852879280303,0.12320491950888598,0.1074262253214982,0.08580475524155208,0.10607809372395924,0.09774480952835642,0.13371384485246854,0.10148097067538325
HALLMARK_COAGULATION,0.013369555922460032,0.0002571521353970798,-0.047018258904339714,0.06895234716090538,0.09704349189492897,0.03504600237756001,0.06415700364656128,0.16546782733680387,0.015200708489073367,0.18240222799184788,0.0895497945762288
HALLMARK_COMPLEMENT,0.0480068772568787,0.013304919626117287,-0.06137438187243236,0.04077029108970176,0.1075423380584398,-0.01944007012438084,0.07808431838505836,0.176642257957309,0.07127487665747344,0.14192974886377788,0.08358835924487262
HALLMARK_DNA_REPAIR,0.05562691890403961,0.06365621127506138,0.005965069995751177,0.015925650205286315,0.13426907854965428,0.10743787771626274,0.11393418971255298,0.17150718325103123,0.13098751451728752,0.15100893486766448,0.12879367724216476
HALLMARK_E2F_TARGETS,0.007949421143763038,0.06519823346138129,-0.07111200336845969,-0.048068566789229876,0.09244980092881704,0.0920629552485993,0.02283234020960921,0.12832505533219987,0.11951525811340095,0.08797986651099686,0.09278816418245044
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.058291648774291924,-0.017101069706410968,0.08030796626699696,0.029816880101733147,0.07414788507319238,0.005401298809932329,-0.03637526052522103,0.18981178802900073,0.013446512776836115,0.12434726195423429,0.029111328659744425
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.009148048212537622,0.058938435122517494,0.013155110972850223,0.02906800837071589,0.08575988579789072,0.08279131846106344,0.07448161186408059,0.11808167685219915,0.09776196806995284,0.12293251456575573,0.12371608283620716
HALLMARK_ESTROGEN_RESPONSE_LATE,0.024895850414856993,0.008799939319697662,-0.08944761067226373,-0.004841518642058593,0.04400057584464911,0.08195130226592758,0.05569577726064605,0.08042178584939265,0.04041373877571322,0.10382502167182069,0.062739023042751
