,UKF255,UKF313,ZH1019T1,ZH8811Abulk
HALLMARK_ADIPOGENESIS,-0.017295951883001905,0.05778469438551772,0.039261100425419325,0.016976896268231123
HALLMARK_ALLOGRAFT_REJECTION,-0.026318876061491886,0.11904715618835186,-0.05689112018676306,0.05611415405071008
HALLMARK_ANDROGEN_RESPONSE,0.043064093458390074,0.08172191446845846,0.023012802600897365,-0.020760022375011455
HALLMARK_ANGIOGENESIS,-0.03945122390003432,-0.008961300884693038,0.027831903477544898,0.021271807292055887
HALLMARK_APICAL_JUNCTION,-0.05231288831380307,0.07133567651025009,0.040206949493170906,0.03429069770857593
HALLMARK_APICAL_SURFACE,-0.07447483663604502,0.0867361179566118,0.0013308453927505877,-0.00814468273269849
HALLMARK_APOPTOSIS,0.0559138411008861,-0.036281812011829784,-0.024839725185024805,-0.04986426665160726
HALLMARK_BILE_ACID_METABOLISM,-0.040567776119699576,0.06373021928554243,0.005694367696638393,0.015987873643403226
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.013382041653379405,0.1036085014579503,-0.00100381719421635,-0.012032749678550156
HALLMARK_COAGULATION,0.011465879630451101,0.05570290077725774,0.05519414405492814,0.008013942707041736
HALLMARK_COMPLEMENT,0.008962147257714883,0.09323612100503086,-0.05342320049488679,0.000865758969585567
HALLMARK_DNA_REPAIR,0.04407041554378262,0.11381481022443182,-0.02122212862782015,0.0321194577718262
HALLMARK_E2F_TARGETS,-0.0742051763333684,0.10676886999585877,-0.014232558770496576,0.002959548197026325
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.06371041298353992,0.013415116564609001,0.05537967418176565,-0.027648129603046027
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.053699995634453566,-0.01749049294152829,0.09852806132479022,-0.0003437949289463539
HALLMARK_ESTROGEN_RESPONSE_LATE,-0.011001465435443673,0.07139612920306974,0.015172588787189984,0.03174999751442717
HALLMARK_FATTY_ACID_METABOLISM,0.1029945870567052,0.02849652265185256,0.08468425469993318,-0.04305101367880672
HALLMARK_G2M_CHECKPOINT,0.02915919132668311,0.0794145239093104,-0.018810261688278963,0.01796870038631747
HALLMARK_GLYCOLYSIS,-0.030880041075390368,0.05655180238481256,0.14930654635509713,0.029503234031779655
HALLMARK_HEDGEHOG_SIGNALING,-0.06425908735260756,0.035933527610906325,-0.013364877719825705,0.06885835183081351
HALLMARK_HEME_METABOLISM,0.030609052448092828,0.0657088823199082,-0.00973397517962818,0.019164862566068634
HALLMARK_HYPOXIA,0.07268697065587593,-0.02946764799525803,0.15796972965731082,-0.025111332948268457
HALLMARK_IL2_STAT5_SIGNALING,-0.05192406029839918,0.03823704669581412,0.016801638925993494,-0.0034546835245591193
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.02311502990827257,0.034074537884375,-0.0786339241602208,-0.02077615424850967
HALLMARK_INFLAMMATORY_RESPONSE,0.08238497853968159,0.03308210595258467,-0.031212660950280288,-0.06427527180620742
HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.05944078921235289,0.07149165971715667,-0.09174432032230537,0.01605803695848519
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.1232341479181741,0.017641170395437108,0.0025459769166884935,-0.06361841420079233
HALLMARK_KRAS_SIGNALING_DN,0.01340624976265869,0.017560114773547852,0.01742407971444659,0.026159302364054737
HALLMARK_KRAS_SIGNALING_UP,0.010246113466351533,0.05569505538029456,-0.06556512618266457,0.027490828580548347
HALLMARK_MITOTIC_SPINDLE,-0.03318135827880468,0.10142123983278334,-0.032910032431656314,0.043632678446652
HALLMARK_MTORC1_SIGNALING,-0.0003503343470814236,0.022646601058257762,0.06569887787429024,-0.007986795096619063
HALLMARK_MYC_TARGETS_V1,-0.021065969527253595,0.12374533845958804,-0.03945858987587531,0.050889840420683445
