,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1
HALLMARK_ADIPOGENESIS,0.04968075137631643,0.18971578566055208,0.24271392962318844,-0.07994210207342982
HALLMARK_ALLOGRAFT_REJECTION,-0.18187715180683203,0.06142457110176763,0.22449781764797508,-0.03730631066550516
HALLMARK_ANDROGEN_RESPONSE,0.008873230594507111,0.1861035651452377,0.2891812686945308,0.05473114788660767
HALLMARK_ANGIOGENESIS,0.20782454854045831,-0.008195853825380257,-0.03592032481469913,0.1463099980528256
HALLMARK_APICAL_JUNCTION,0.0017376464519827921,0.2355760231886256,0.26332514405837865,0.1528793022462862
HALLMARK_APICAL_SURFACE,-0.06750622118558286,0.2701791665756428,0.28657676059183057,0.01414312998018266
HALLMARK_APOPTOSIS,0.050886693178766276,-0.09286937305005728,-0.08590650832167375,-0.07225134377772065
HALLMARK_BILE_ACID_METABOLISM,-0.029635383403017426,0.172888549593017,0.23109621334470978,-0.0709072676436367
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.11748944208578622,0.29788673404186883,0.2595053780193676,-0.02998641080555934
HALLMARK_COAGULATION,-0.19421670144996245,0.11494890727248826,0.1776052206262861,-0.2329640759813083
HALLMARK_COMPLEMENT,0.22054991443524405,0.18273477565787055,0.2303539350792008,-0.06984452011463119
HALLMARK_DNA_REPAIR,0.033688902136946995,0.24643372143588715,0.29951774724505537,0.15510305501737506
HALLMARK_E2F_TARGETS,0.01889415478282457,0.3073205675708981,0.33043471556130294,0.19305840733808433
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.027848023578280357,0.06594333268995776,0.03694334468869648,0.07851954284505584
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.146007959990087,0.27479993012548914,0.17260057414211039,0.07732969586556242
HALLMARK_ESTROGEN_RESPONSE_LATE,0.07697032732322297,0.2638341837424359,0.29195289889461107,0.12014217006194836
HALLMARK_FATTY_ACID_METABOLISM,0.15496926235228153,0.09506216360283114,0.08355650191860987,0.10996466373044937
HALLMARK_G2M_CHECKPOINT,0.05364699453038745,0.24183661301329296,0.25378282877791525,0.15349969080478723
HALLMARK_GLYCOLYSIS,0.21990963804168212,0.3604771302572987,0.27969658338350484,0.29567768664167643
HALLMARK_HEDGEHOG_SIGNALING,0.11895143640580043,0.34040444789352026,0.238629806671025,0.23094352159009507
