,MGH258,ZH1007inf,ZH1019T1,ZH881inf,ZH916T1
HALLMARK_ADIPOGENESIS,-0.009713505748138432,0.13224115716462717,-0.009798284707915007,0.03258518958323645,0.13228109043826247
HALLMARK_ALLOGRAFT_REJECTION,0.08015541872380881,0.12116246395874082,0.008490293350114728,0.040141367431000136,0.052164519395755074
HALLMARK_ANDROGEN_RESPONSE,0.0422709492030633,0.15687485813209648,-0.010194895065599946,0.07154688575232118,0.025810039395753676
HALLMARK_ANGIOGENESIS,0.10067690486295859,0.09704493428039603,-0.011231441461444716,0.02033290445263771,-0.14338177710153466
HALLMARK_APICAL_JUNCTION,0.019980279227980485,0.12805534714256447,0.032341744939159714,0.08837050719962243,0.08099122068738403
HALLMARK_APICAL_SURFACE,-0.02206332147071007,0.08375558049622897,-0.014100559483836343,0.03544032761846197,0.043172643472134176
HALLMARK_APOPTOSIS,-0.02885097605956092,0.007844494589028448,0.044902539022763234,-0.004612762786099062,0.01617280074401155
HALLMARK_BILE_ACID_METABOLISM,-0.0391518295066155,0.03467791570443739,-0.04330828942598844,0.010329073154056317,0.11024887680771912
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.041436910866302634,0.15608204436050535,0.02647508185967038,0.04322470700365837,0.12474987839204733
HALLMARK_COAGULATION,0.04405599546275988,0.04564167601530923,0.03790579216601885,0.03206732481523197,0.022443199799393194
HALLMARK_COMPLEMENT,0.05459452449176973,0.18353512787916926,-0.02320283020164049,0.017669796070355452,0.13971761235240876
HALLMARK_DNA_REPAIR,0.04164801393436783,0.16308423569832067,0.01130495188535056,0.09261585584879872,0.13418943475893483
HALLMARK_E2F_TARGETS,0.04097780106409814,0.05806692123355322,-0.04924159372002368,0.023978349008163338,0.15019747434457056
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.0376316792044078,0.1093839884121487,0.055434618372268776,0.004199854114045217,-0.024377497244459773
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.011055875073608529,0.05938346775930684,0.032779249330983876,0.028877045964577526,0.08166616401913622
HALLMARK_ESTROGEN_RESPONSE_LATE,0.04733642252195196,0.033393503688141354,-0.036484051148907466,0.04424631696151376,0.15765776763835276
HALLMARK_FATTY_ACID_METABOLISM,0.07803684595572136,0.10205521183641145,0.08755488072834278,-0.007592620936635433,0.08721908338675204
HALLMARK_G2M_CHECKPOINT,0.052888393077241545,0.04076776580697279,-0.0505025754706035,-0.022162449215642793,0.11478541745567832
HALLMARK_GLYCOLYSIS,0.02426488164819703,0.11163572539587203,0.0615748637756188,-0.018461797618044944,0.1350157760624181
HALLMARK_HEDGEHOG_SIGNALING,0.12304713958215416,0.058037870373325466,-0.05489926481114474,-0.07316148409207852,0.12232040045932464
HALLMARK_HEME_METABOLISM,-0.008993419755118696,0.16981355498446493,0.049505144033092495,0.037370573958670335,0.12503676797048677
HALLMARK_HYPOXIA,-0.02896404828937096,0.14173736141908636,0.06359889608103436,0.018719831637530805,0.011186918153388965
HALLMARK_IL2_STAT5_SIGNALING,0.05452051954144721,0.1412030797000752,0.05053472238203258,0.0825026444327804,0.08607497950219492
HALLMARK_IL6_JAK_STAT3_SIGNALING,-0.001424006004461793,0.05374571222581915,0.015142270141394161,-0.02301440388209478,0.026793111459737236
