,UKF251,UKF259,UKF275,UKF313,UKF334,ZH1007nec,ZH916T1
HALLMARK_ADIPOGENESIS,-0.024499389224841975,0.05094835157663375,0.014587113146425005,0.0774964975332447,0.021291830305030495,0.11192186120471866,0.06918582732608368
HALLMARK_ALLOGRAFT_REJECTION,-0.02792199126998803,-0.035338906032353345,0.032057155814744866,0.0637997163517777,0.09122739304968572,0.048646897330876494,0.028133107614151796
HALLMARK_ANDROGEN_RESPONSE,0.00807106192149085,-0.006405508869722002,0.04632820209409672,0.0898418242190517,0.05134434715569849,0.108653965450101,0.08147220994906658
HALLMARK_ANGIOGENESIS,0.05204220163556136,0.009369891338909132,0.10834850804091924,-0.05308001502732739,0.07545838981620137,-0.06652000828387634,-0.05232495940879779
HALLMARK_APICAL_JUNCTION,-0.005255495540574372,0.012699924274200318,0.045522515811473985,0.09512319130563551,0.049418425993318305,0.11071924950966525,0.049170289192119604
HALLMARK_APICAL_SURFACE,-0.012660008879316504,0.018107851143352765,-0.004744777475931004,0.10328251941834683,0.0015844879155922146,0.04449276163099104,0.06027281011319067
HALLMARK_APOPTOSIS,0.010531976026471842,0.0027311062656040844,0.07142651589288153,0.04912690578590555,-0.0007177527479548881,0.0681576481881272,-0.015664789992388985
HALLMARK_BILE_ACID_METABOLISM,0.007946703371698763,0.06039341012845294,0.06284705450672651,0.08371055736981028,0.005202492276809892,0.08292918365794419,0.09619761583898018
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.0195013293212408,-0.009120511208642953,0.03632198365529683,0.09913741183145841,0.020514198253773878,0.12984969601202326,0.06590911139891825
HALLMARK_COAGULATION,0.0023304313104909238,-0.011359474038012572,0.08709717276465855,0.044860260663681845,0.03497584296044343,0.12334555532036029,0.002619333652870546
HALLMARK_COMPLEMENT,-0.019737723920075955,-0.03399039309242861,0.09154736663788604,0.10109325954399559,0.025514477010026886,0.13367037261341216,0.07625898214950902
HALLMARK_DNA_REPAIR,0.007827542756091254,0.021647180312472168,0.06452409757852727,0.09855674754395699,0.09841324363572372,0.12654412964532732,0.06684882009104919
HALLMARK_E2F_TARGETS,0.023014670064290282,0.012891556631499736,0.04506902076615288,0.09605526988768147,0.05903936857653572,0.09561411851541388,0.10520408491054989
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.019934889385528308,0.006804199014299962,0.07007378695941428,-0.01836239609394066,0.06300361733162808,0.12204214191050618,-0.005206652778329732
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.040412872521587304,0.027055304212326874,-0.05203185246730588,-0.07233577507630488,-0.04322293115039094,0.09956629266761116,0.07353299832319837
HALLMARK_ESTROGEN_RESPONSE_LATE,0.01586943719287942,-0.01511686804792744,0.04901062098286391,0.08782511561365651,0.06396476705875132,0.0939098004340575,0.11321992299900087
HALLMARK_FATTY_ACID_METABOLISM,0.03911107904216156,0.013306029231615045,0.10813456309845054,-0.09271833958834572,0.017046392446828994,0.06098653813974447,0.06014735870816366
HALLMARK_G2M_CHECKPOINT,-0.001711479818420655,0.004406588693052324,0.07427205559811698,0.09887254324780466,0.0715947885575523,0.10794359559191487,0.09723556533562892
