,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk
HALLMARK_ADIPOGENESIS,-0.12523669623447195,-0.01073744371105681,-0.061468733638391344
HALLMARK_ALLOGRAFT_REJECTION,-0.09543150102326177,-0.05298599052147695,-0.04513392788214976
HALLMARK_ANDROGEN_RESPONSE,-0.08821892999268431,0.005268819962914609,-0.11131463163413863
HALLMARK_ANGIOGENESIS,0.06045673573933144,-0.007495868731200166,-0.0694104675698383
HALLMARK_APICAL_JUNCTION,-0.12332118201927347,0.02279586555870334,-0.10460698212881495
HALLMARK_APICAL_SURFACE,-0.11315354562045844,0.011983969995893573,-0.11251079036347693
HALLMARK_APOPTOSIS,0.060758420105006386,-0.04822237483411999,-0.0540370289108251
HALLMARK_BILE_ACID_METABOLISM,-0.09492082206725642,0.011416424634629444,-0.051722152841878345
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.14018418646026373,-0.012334439050597472,-0.06319961929204432
HALLMARK_COAGULATION,-0.11718338893766778,-0.035304105111854986,-0.0766143740094004
HALLMARK_COMPLEMENT,-0.09699294923367476,-0.025746506908761808,-0.04779700981136723
HALLMARK_DNA_REPAIR,-0.1331772628892403,0.0012475098258369023,-0.08142027265133188
HALLMARK_E2F_TARGETS,-0.05830467747279736,0.02821908310899404,-0.07603971245124395
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.030431774687956287,-0.010361301667298943,-0.1183972992171348
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.11950233135711101,0.01299812187469595,-0.010911305763594717
HALLMARK_ESTROGEN_RESPONSE_LATE,-0.12266808084005046,0.017682322131185462,-0.017114804432583196
HALLMARK_FATTY_ACID_METABOLISM,0.05267103505907125,0.0770347313423687,-0.029895817029077853
HALLMARK_G2M_CHECKPOINT,-0.07370056406220846,0.025150717773105662,-0.07985494122439438
HALLMARK_GLYCOLYSIS,-0.09967429463080985,0.027430107070286598,-0.051964307277782666
HALLMARK_HEDGEHOG_SIGNALING,-0.09119781254768566,0.01153797819148041,-0.0741524496856407
HALLMARK_HEME_METABOLISM,-0.12907035044959753,0.01743182011033697,-0.04983745320286482
HALLMARK_HYPOXIA,0.09252551484851189,0.03134824449043569,-0.0389987066831148
HALLMARK_IL2_STAT5_SIGNALING,-0.10475638394035354,0.01912284637340572,-0.05782623056841204
HALLMARK_IL6_JAK_STAT3_SIGNALING,-0.09793468458591456,0.020219927640193584,-0.0016937516562007206
HALLMARK_INFLAMMATORY_RESPONSE,0.08109020320494206,-0.02845635136548993,-0.0033875824823347144
HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.13686775651218486,0.012970078111440162,-0.03844730459160452
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.007872140917721664,-0.034447228044847004,-0.08114281502268222
HALLMARK_KRAS_SIGNALING_DN,-0.12438905292024775,-0.017565431219262385,-0.07366867191213444
HALLMARK_KRAS_SIGNALING_UP,-0.10209133160129497,-0.009168879312292513,-0.06296408214306273
HALLMARK_MITOTIC_SPINDLE,-0.11947200716086592,0.03344944771978199,-0.09125534893950799
HALLMARK_MTORC1_SIGNALING,0.031662042075719425,0.06965151475497533,-0.05971910450303599
HALLMARK_MYC_TARGETS_V1,-0.10661380745612811,0.011023676161671494,-0.12842134094104463
HALLMARK_MYC_TARGETS_V2,-0.09963883164192341,0.018355855045001736,-0.025469577802157008
HALLMARK_MYOGENESIS,-0.1359646631783164,-0.035040899631409564,-0.010235501316934802
HALLMARK_NOTCH_SIGNALING,-0.12800659909419407,-0.002473838655844348,0.008103161425390587
HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.13420225732159222,-0.0005048226029307245,-0.07298561681908561
HALLMARK_P53_PATHWAY,-0.11211036007494266,0.020644228328631692,-0.055126555636286344
HALLMARK_PANCREAS_BETA_CELLS,-0.1401684402633503,-0.011257467160340406,-0.05758220904158136
HALLMARK_PEROXISOME,-0.11784936156893527,-0.040670475460309365,-0.08302638649014661
HALLMARK_PI3K_AKT_MTOR_SIGNALING,-0.10372554000863475,-0.023262739259723903,-0.10942217334166435
HALLMARK_PROTEIN_SECRETION,-0.11221850240190685,0.008421134927079656,-0.06695253143146726
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,-0.11531842214242585,-0.009106613460132678,0.09458659871557175
HALLMARK_SPERMATOGENESIS,-0.13229756329711062,0.006023179395339212,-0.046338455533184476
HALLMARK_TGF_BETA_SIGNALING,-0.11248230652468273,-0.009719054899102719,-0.03619716313809731
HALLMARK_TNFA_SIGNALING_VIA_NFKB,-0.03486978496353548,0.00034639176346825366,0.028877536646067858
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.1028001892126427,0.0043735517675393175,-0.046067595398974245
HALLMARK_UV_RESPONSE_DN,-0.11494098154668166,-0.03630545260801005,-0.03038887417851317
HALLMARK_UV_RESPONSE_UP,-0.08628590770880962,0.0032748612368389135,-0.09912427951981599
HALLMARK_WNT_BETA_CATENIN_SIGNALING,-0.06063281439451939,0.0003919007193346972,-0.11212984113830339
HALLMARK_XENOBIOTIC_METABOLISM,-0.1251550266691024,-0.026972740320612518,-0.07376071025831152
