,UKF243,UKF248,UKF259,UKF275,UKF313,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.037755503527637305,0.05631849211830211,0.023926651484926793,0.009269643209601162,0.03335939902416275,0.07477844999037761,0.07109345391621748,0.04801089545922015,0.12756573690133258,-0.05369578605518672,0.10787290251072487,0.11389169942773644
HALLMARK_ALLOGRAFT_REJECTION,-0.01901317379333752,0.06810008261610292,0.057745444027107316,0.07859319278331627,0.06677081775063973,0.10770123629152237,0.0535223174423758,-0.002118872899418407,0.10314753059192712,-0.06159448343524491,0.008041574392773693,0.11145882573934329
HALLMARK_ANDROGEN_RESPONSE,0.07971438511835797,0.05996254274262019,0.044483021889664714,0.11049238310593475,0.03718074755250142,0.11806913517807219,-0.029582379447428385,0.1078548252058458,0.14318084468149397,0.05280067371792352,0.16621763975411438,0.14981810042636803
HALLMARK_ANGIOGENESIS,0.061519587799316246,0.1135714620311532,0.03366314351682819,0.07247009253054802,0.017362745791213732,0.11107373436525349,0.15252192176962612,0.0789673865097479,0.029427411493720506,0.04167749582212947,-0.06341668057398712,0.128017887081514
HALLMARK_APICAL_JUNCTION,0.06856363175911251,0.08099530398771425,0.017978939835748692,0.053837099890264084,0.11098348456381059,0.08397522464921015,0.07489847081859358,0.08002709863991986,0.12179823181175896,0.025394846933918778,0.05142276676883117,0.15227974392354135
HALLMARK_APICAL_SURFACE,-0.007912531064107931,-0.00436878810762611,-0.014080363312263647,0.024584176727378,0.103690001898793,0.07843934308206593,-0.037187862796314156,0.06496437137693942,0.15763853758592164,0.011742438990870255,0.06923423007158816,-0.001591668284027502
HALLMARK_APOPTOSIS,0.03104453542128751,0.146065598432279,0.03407564417932562,0.08829283004392142,-0.0902040204486148,0.08730291068996283,0.07468416601612081,0.1405093928170759,0.03295485785091852,-0.026824259939300755,0.07215593194205042,0.09218934202184506
HALLMARK_BILE_ACID_METABOLISM,0.03126632726633455,-0.07575900124576015,0.02955810968510877,0.05720199745310493,-0.0010106068886811697,0.08840217485918932,-0.10101837640990173,0.010153126764321684,0.11358276876289077,-0.016700910660085565,0.10604552921585475,0.1576477866835183
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.04428508980599462,-0.006540640472118734,-0.00678492364460403,0.03540666971669806,0.057382520333955404,0.0740218841787633,0.09417534722175155,0.05095915258476842,0.12813677446131885,0.0217596254454754,0.17650640702671308,0.1397961854254848
HALLMARK_COAGULATION,0.008925226584883823,0.13778956367273215,0.022654159697905445,0.09776637912227139,0.1631437043351907,0.04987463691386421,-0.05108534711525338,0.082716283043207,0.1425996769840458,-0.0937459295483941,0.03687567768479448,0.1347338544288298
HALLMARK_COMPLEMENT,0.000992248150318207,0.10179041876996202,0.06295046511442401,0.06652875142901536,0.030438057414821966,0.18205341919892398,0.20253500194094565,0.11536510597320822,0.15789546958211162,-0.06988719255349912,0.12827038199955937,0.05707739906010783
HALLMARK_DNA_REPAIR,0.07372126543901852,0.05544843547225365,0.056163026650858046,0.082637374695015,0.0841009757985477,0.15265354713939683,0.037361079355566415,0.07636679278151313,0.18189505450776827,0.009362203108938396,0.11800756761257222,0.16929734385263012
HALLMARK_E2F_TARGETS,0.01946259564486911,-0.02948678842916463,-0.017741966540388933,0.0684023608644594,0.0984065408385779,0.015091504252328433,0.02402582913923858,0.10102592661941154,0.17099293549156525,0.09014342471087401,0.06853510434996772,0.16256734727163719
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.07517604139234547,0.1708550634913618,0.06327456153359227,0.04363576021911476,0.13748272931473846,0.023049195420085968,-4.524659631388492e-05,0.2352689490647403,0.12478831936198502,0.05224053057993856,0.022641334473055427,0.17808731546362608
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.09079465410607077,0.04120620736699974,0.013229310095317717,0.006415254136205467,0.035796366623418334,0.06090584685430503,0.00019850718811551156,0.13193043807407734,0.14655410850562167,-0.007709719219162318,0.18108985581217282,0.11939142171408322
HALLMARK_ESTROGEN_RESPONSE_LATE,0.00027467583183618196,0.0425540109028022,0.018952747701860048,0.0333898252404249,0.00027779098103348837,0.11089517091396692,0.07793776259762715,0.029097717760790003,0.15896316325380208,0.0006180197861227253,0.11865899032227054,0.024643161417397887
HALLMARK_FATTY_ACID_METABOLISM,0.04448572253415544,0.08600208922321498,0.02241477264276924,0.05103871995652949,0.07730180197184765,0.042752727221849265,0.2046720136466668,0.123474727664819,0.11209412665386258,0.08580428213672739,0.08006162209936364,0.022794417596559362
HALLMARK_G2M_CHECKPOINT,0.10536197132676231,0.03514118722958407,0.029522587770099196,0.07935928697627827,0.017832195146731348,0.032853149884324015,-0.05189026187891523,0.1217302520302436,0.14358008021797675,0.04385952038055131,0.11965303456450276,0.1643543740875222
HALLMARK_GLYCOLYSIS,0.029184527252448852,0.08297259813963909,0.02599910601767101,0.012257593997089528,0.11462616551789546,0.10749027299917847,0.08373619904282724,0.14228897444041877,0.19369046781735866,0.11939172489089328,0.19402050368661972,0.08273471250952316
HALLMARK_HEDGEHOG_SIGNALING,-0.007104640578142885,0.007933068719005624,0.003797162076091942,-0.06429351906216914,0.16180696349712867,-0.014837663620888546,0.0578682401202069,0.0795351357020016,0.1202780189102377,0.07157404487583381,0.15503681141204786,-0.1112238343317672
