,UKF243,UKF275,UKF296,ZH8811Abulk,ZH916T1
HALLMARK_ADIPOGENESIS,0.1068502533917668,-0.054511191953049605,-0.005444453374925471,0.0822578578777374,0.1399114448391701
HALLMARK_ALLOGRAFT_REJECTION,0.011917778072816269,-0.01766885756242951,-0.0010759205241149053,-0.01379900589867672,0.07141032112225788
HALLMARK_ANDROGEN_RESPONSE,0.044061548756131275,-0.08515990121826457,-0.01465789629460178,0.09630077678548157,0.08765347472706861
HALLMARK_ANGIOGENESIS,0.03746778144237047,-0.08752028455921666,0.052523349078398306,0.042223170131931255,-0.018274434515008636
HALLMARK_APICAL_JUNCTION,0.07584519860515686,-0.06837386712455644,0.02642230147694369,0.10085285427959038,0.09619888744593444
HALLMARK_APICAL_SURFACE,0.10285862781388135,0.012948963269343397,-0.006918102101708642,0.043547368725745945,0.07850451340645787
HALLMARK_APOPTOSIS,-0.0026459369031543675,-0.08957738139399733,0.0014565199815439688,-0.03647380209242343,0.025139694503370176
HALLMARK_BILE_ACID_METABOLISM,0.0838009038014306,-0.06805290073857671,0.06182899385711636,0.11428975485939183,0.10257084582068782
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.05785670653365989,-0.08000774760332229,-0.029326655305060973,0.08921280024448028,0.062303755252023335
HALLMARK_COAGULATION,0.06380815026698824,-0.042094146422675595,-0.0351822572387773,0.07538328287707846,0.09294492049240935
HALLMARK_COMPLEMENT,0.055616630052744365,-0.06682225491434336,-0.018861319397380623,0.09958153102480559,0.07862901439224297
HALLMARK_DNA_REPAIR,0.11403823649334796,-0.026080764028175645,0.027070149737256997,0.08855459813391575,0.07584625261180214
HALLMARK_E2F_TARGETS,0.05970934057702001,-0.05207087765405213,0.005589731001167345,0.07022381670940597,0.044054947354898955
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.06125650114736773,-0.09987324619447895,-0.021142077754300083,0.014657540197403559,0.037444062028915384
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.10316276345899657,0.02060315069126946,0.02194476734800374,0.10494205923863419,0.1356550623648328
