,UKF243,UKF248,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304
HALLMARK_ADIPOGENESIS,0.12321730374096049,0.031322883373711904,0.0711514545532096,0.019129757060096314,-0.17189772050723398,0.08296798675868407,-0.04531300435396724,0.015047548130954876
HALLMARK_ALLOGRAFT_REJECTION,0.08969307918779507,-0.0034057525653243027,-0.002727498369376371,-0.058267559585772226,-0.26876227545947495,0.03916234874252513,-0.02794744440655087,-0.030019266245235824
HALLMARK_ANDROGEN_RESPONSE,0.05228193209066638,0.054559352074234714,0.12449975324317597,-0.0394914188366147,-0.2994224467494669,0.09206356078602267,-0.03831896720494797,-0.04887715960355266
HALLMARK_ANGIOGENESIS,-0.13871275184082316,-0.04142310229156829,-0.17673136355341368,-0.03346338169225975,-0.3733750095035744,-0.11901187447677228,-0.09542319392577778,-0.04487267261290994
HALLMARK_APICAL_JUNCTION,0.0958357465182119,0.08801949241547728,0.02625235959466675,-0.027290854263451424,-0.26430940211366794,0.018378721826820706,0.041217062803735355,-0.023167057741687397
HALLMARK_APICAL_SURFACE,0.1741858980637979,0.05535513479128579,0.06425737003733888,0.06818483693822264,0.32679888133021245,0.06512657379067077,0.058592458241012564,0.07004337899502515
HALLMARK_APOPTOSIS,0.0024503815477296457,0.04330765765036091,0.038749661356151155,0.06992529161336651,-0.08076588221456893,-0.06217511894929852,0.01906000364719115,-0.011801247276951119
HALLMARK_BILE_ACID_METABOLISM,0.06965575704324235,0.024521985289324266,-0.06802184578365715,-0.060361017760252995,-0.38439084402273116,-0.039102915538776754,-0.03691570732240965,-0.033281634308205466
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.07416129782496773,0.08271282205228514,0.004324568900325399,-0.08367562728801188,-0.22970330137429015,-0.05951411014878325,-0.04897016674595517,0.024036515185839644
HALLMARK_COAGULATION,0.07434347655249039,0.05954788126493724,-0.0035383646729057177,-0.0454757697187445,-0.3486183362199941,0.0214923474876326,-0.09481830046452362,-0.03858282745833843
