,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk
HALLMARK_ADIPOGENESIS,0.06471295339525884,0.09036329728761337,0.06576371413887894,0.08794256681400603
HALLMARK_ALLOGRAFT_REJECTION,0.05433996893454154,-0.03968491034959757,0.03309713159109651,0.08655745441692816
HALLMARK_ANDROGEN_RESPONSE,0.02989518304448261,0.08922955994487271,0.08990312296687726,0.09654659523228509
HALLMARK_ANGIOGENESIS,0.062263113436423385,-0.08603968440052634,0.0894453814432897,-0.008187561068912075
HALLMARK_APICAL_JUNCTION,0.036097702241426916,0.050740749652080995,0.06881092748057797,0.08669001596579085
HALLMARK_APICAL_SURFACE,0.03963051249514593,0.07927289618069107,0.08706727406761514,0.048020447682498586
HALLMARK_APOPTOSIS,0.050932166685266476,0.0068767938993819595,-0.023437273862676772,-0.013012486200509068
HALLMARK_BILE_ACID_METABOLISM,0.018110096731291863,0.04352293676914002,0.03654386372556102,0.06682854637847348
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.1060098249976759,0.14249994451937195,0.09729089118385427,0.07320997148259366
HALLMARK_COAGULATION,-0.005432701992917225,0.07495440560087546,0.013466105620492674,0.049427941148919456
HALLMARK_COMPLEMENT,0.12079325466930413,-0.008473714500176333,0.11437420105399154,0.07944574072688687
HALLMARK_DNA_REPAIR,0.07286959945766916,0.060378494710044014,0.0943038410428746,0.11783807147285366
HALLMARK_E2F_TARGETS,0.08352385775427255,0.06830537536971001,0.13583824582959342,0.1278804189362937
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,6.996502181237669e-05,0.0700582922583482,0.10257427052142282,0.03653368725479544
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.0005832101518455915,0.18129190727691516,0.08045017890344372,0.04290496500190433
HALLMARK_ESTROGEN_RESPONSE_LATE,0.08829794707877567,-0.02200921868989528,0.10064071206420552,0.09478213315991339
HALLMARK_FATTY_ACID_METABOLISM,0.00377343493237805,0.0953079899313599,0.12786348438945302,0.0758706066559924
HALLMARK_G2M_CHECKPOINT,0.05949848913830462,0.0275090069600738,0.12994522869745734,0.09834645561642984
HALLMARK_GLYCOLYSIS,0.08365528200252878,0.024044550960621636,0.12864625785854794,0.08333765583304416
HALLMARK_HEDGEHOG_SIGNALING,-0.06779480113745154,0.13500924484743912,0.13052077768102638,0.02949310965684405
HALLMARK_HEME_METABOLISM,0.05013095183294743,0.09379664766307054,0.09593893623530261,0.11280945604016447
HALLMARK_HYPOXIA,0.00392420112626685,-0.013990260426132583,0.0694552044975164,-0.01780974739823582
HALLMARK_IL2_STAT5_SIGNALING,0.006680785699996163,0.050329546797117625,0.1339798368717571,0.10226924951531521
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.03311822698979327,0.03203484082723623,0.08176947611056518,0.029773018903357304
HALLMARK_INFLAMMATORY_RESPONSE,-0.06793871608794758,-0.014501609896109473,0.11773427253672562,-0.021024235593116072
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.09304453821551195,0.02637120757258833,0.06931648572233497,0.08562553252579366
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.06219542439455893,0.012691342443531872,0.0508671951267912,0.0677960665925771
HALLMARK_KRAS_SIGNALING_DN,0.0641689165092065,0.08789524020959776,0.06230896326618487,0.03836642837859399
HALLMARK_KRAS_SIGNALING_UP,0.09052667519727702,-0.02705621978263815,0.07412748691076153,0.05554211643076165
HALLMARK_MITOTIC_SPINDLE,0.07689961423189073,0.10981619548656348,0.0893760274518889,0.11461301571395385
HALLMARK_MTORC1_SIGNALING,0.028765698865885002,0.01895288114532908,0.1492416326138179,0.043951388715372526
HALLMARK_MYC_TARGETS_V1,0.067865232230243,0.04900917571040705,0.0741911425256008,0.11185378970061655
HALLMARK_MYC_TARGETS_V2,0.036041983455875656,0.037614864808357115,0.032261106361339005,0.05589828315696311
HALLMARK_MYOGENESIS,-0.031690907919852254,0.13855637378468053,0.03769100952319749,0.0999433560155928
HALLMARK_NOTCH_SIGNALING,0.010386321858569175,0.07421527869303887,0.05950192570417392,0.07586694773557999
