,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007inf,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
HALLMARK_ADIPOGENESIS,0.057222128118370956,0.1707822832730846,-0.005629020947820847,0.054520416523544446,0.1295955457884814,0.05549414902695322,-0.11048304359077206,0.09412263039453851,-0.025267387812285227,0.16310961955679695,0.06698804461756673,0.16563181639911212,0.011289189473241607,0.11040303171160928,0.02814559086282594,0.13586643267780626
HALLMARK_ALLOGRAFT_REJECTION,0.0805909150227171,0.03148676492642412,-0.07288099088306352,0.05345296283671174,0.06720353163176608,-0.08469612911442917,-0.20644200162847107,0.058522747100287084,-0.06850982820321751,-0.3112868545047803,-0.09936930566312215,0.0691022356034208,0.04139157610931078,0.11939984939735691,-0.05425924960856909,0.0013418176161809
HALLMARK_ANDROGEN_RESPONSE,0.010381351181173901,0.1282795154789658,-0.04076586414008854,0.01785700988862121,0.21674700994701043,-0.07979331201470759,-0.22992949887359634,0.04430546657556199,0.02106789821995569,-0.1148326585960537,-0.10404240655333963,0.1205866180600033,0.0460368643177616,0.11843580527477694,0.03443385910123894,-0.009930016296027466
HALLMARK_ANGIOGENESIS,-0.287388478781337,-0.07736798473796357,0.06916689800308867,-0.06403887033890093,-0.26178571808016454,-0.14524536225567636,-0.2878489979969557,-0.13865921109063378,-0.10346909638743973,-0.3730212628967511,-0.21379443655666316,0.15268021258971004,0.01458425547341947,0.041573047192010375,0.02504257810336261,-0.16881870832819812
HALLMARK_APICAL_JUNCTION,0.026191101021352577,0.18631446827254797,-0.0660128129445114,0.042930111883321985,-0.015882927179934055,-0.09065373588118439,-0.20444023423161983,-0.07002823479830358,-0.00044585920369373034,0.02025419947496043,-0.11676064609770605,0.15160975072322125,-0.013424289524528335,0.1953756020601668,0.053985949549518415,0.2017902431369897
HALLMARK_APICAL_SURFACE,0.20559157813967005,0.12710573109577397,-0.03151383064781114,0.04244056788715536,0.034589350216087014,0.11637320139499323,0.23398998400299412,0.021847055183932797,0.10627879607239404,0.19423471127186628,-0.10682753804004494,0.14009897477662303,-0.0422596830752969,0.15179183062798327,0.1496951160907559,0.11649821604530479
HALLMARK_APOPTOSIS,0.02300494372258618,0.018956449951787115,-0.0028170116444919805,0.0441404251483862,-0.018428903716472322,0.0470119767240733,-0.011174881611349425,-0.1492159488684057,-0.037178519490823216,0.018354396799161354,0.12049618636490908,0.07841696304925247,0.002645086182679512,0.043328445136420556,0.1078060755417081,0.1436207704349766
HALLMARK_BILE_ACID_METABOLISM,0.02390699244664618,0.1191724203451808,-0.007952933363872193,0.03100111055279635,-0.03308967383134493,-0.032898805843902215,-0.3084629967737385,-0.031051044240794294,-0.02807968894478135,-0.09684094438717332,-0.13455570373939624,0.03433559920238771,0.015286762602234142,0.02092119013904033,-0.036600248456434024,0.021506098712070446
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.06258208260980912,0.08126998817176849,-0.015991254032315078,-0.004263934013098571,0.0051574367220506975,-0.15048919485802828,-0.18796601030654436,-0.1206489355527443,-0.06419538685531044,-0.24670604689524375,-0.2048526274060575,0.1448375541481807,0.0007419208763183645,0.003610376981458984,-0.0044111623596221426,-0.0043543311306605895
HALLMARK_COAGULATION,-0.030156662826930632,0.13296047339122485,0.01846086647444292,0.054959274644605816,0.0554278171239393,-0.12598762134684943,-0.2741304046182639,-0.0010640188795083471,-0.13964545077511867,-0.31971732989396445,-0.1614462329826176,0.12356335552060631,0.006563630912483683,0.18320580297965255,0.09629856946245602,-0.12862241930677745
