,UKF248,UKF251,UKF259,UKF260,UKF269,UKF334,ZH916T1
HALLMARK_ADIPOGENESIS,0.07359929990161816,0.057160597421624014,0.01633460700360986,-0.024633807962539493,0.09587842827014877,-0.0063645489891785405,0.13790115558669663
HALLMARK_ALLOGRAFT_REJECTION,0.05151599445158108,0.0628225211649348,0.031012568119589908,0.052090332629820095,0.10049047474575368,0.00813466488598442,0.04380685791101098
HALLMARK_ANDROGEN_RESPONSE,0.048112717724279726,0.0057312980355681865,0.005102696879584483,-0.025587241500902736,0.060876639788754204,0.01606377836501941,0.06539336389034965
HALLMARK_ANGIOGENESIS,0.03175806996574918,0.0410230951340493,-0.061952550127665,-0.02628487467532482,0.08346679922713149,0.0026161483299717175,-0.045546576547807555
HALLMARK_APICAL_JUNCTION,0.0592339755757792,0.024697499236176604,-0.0032606992386892426,-0.00391911024263992,0.055521309710165195,0.04119459105481017,0.08928267657268499
HALLMARK_APICAL_SURFACE,0.03138105747690904,-0.05821380640868937,0.01577753783227612,-0.012335480523721678,-0.08975074925286963,0.06965383078460806,0.08452816760468806
HALLMARK_APOPTOSIS,0.029894684455933605,0.02562839716983667,-0.018482776848055875,0.047589290527382755,0.021969550920903868,0.030825344086080612,0.046384272944522555
HALLMARK_BILE_ACID_METABOLISM,0.0716570578163658,0.0015638738830562274,0.08667090138594628,-0.04027580197052018,0.08846853530603138,0.01804868450462452,0.09694565310375267
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.06496634399102674,0.012569854061763346,-0.02056092472020333,-0.02173817180739096,0.061322969120135115,0.05515816290493553,0.1536528456137342
HALLMARK_COAGULATION,0.07430583352891729,-0.006373303561884193,-0.002221841450883146,0.022676852940095107,0.0819641096853585,0.049432810007729186,0.07855549689127092
HALLMARK_COMPLEMENT,0.0899229668128511,0.07612425172065035,0.04041087375459737,0.026516692422841246,0.0682172240360903,0.008990032392873491,0.08665652568214852
HALLMARK_DNA_REPAIR,0.04867395064553787,0.03962616953682021,-0.03800611326704435,0.006874925083220237,0.06184254809417013,0.02382188560343209,0.1315228888854054
