,MGH258,UKF259,UKF260,UKF266,UKF275,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.06843058734852758,-0.0677805452341429,0.001654350000498374,-0.028602412180411027,-0.06586971207822613,-0.04937793377437098,0.009974522443590135,0.07488333338120404,-0.0078284507287026,0.05332672735539565,0.089552086976066,0.012168674627862416,0.031225273493423557,0.03816023713152036,0.08601217423766373
HALLMARK_ALLOGRAFT_REJECTION,0.036774813077917363,-0.03467422113750827,-0.026211951384236282,-0.048490456618849626,-0.06725797386571324,0.028638403110304734,0.03205909581177913,0.09329867196244417,0.06749777964620587,-0.04639617679818572,0.028174458414370163,-0.019381571274950927,0.02977606813988341,-0.009046061581450342,-0.04864049321955761
HALLMARK_ANDROGEN_RESPONSE,0.09442769320891116,0.03760759986122962,0.0015485053801575646,-0.04158362880396947,-0.08373145834647507,0.03586492288782866,0.006404328499243611,0.026619251536603654,0.015518325923726603,-0.01015309635410601,0.061610385270301785,0.026508140409821697,0.019074629586413986,0.046604750703641236,0.06562130610312655
HALLMARK_ANGIOGENESIS,0.00971196528469626,0.04497480272678137,0.05318706256339719,-0.06636816128668338,0.06661847038444274,0.04816955488661536,-0.00442630650161453,0.09686395651118428,0.09050550805573121,0.1003333083029042,0.0012854173344528967,-0.044520657776261185,-0.011486066559493123,-0.038739135981340475,0.008572078154237784
HALLMARK_APICAL_JUNCTION,0.07198960612703448,-0.06759164256595245,0.03369381802188444,-0.01724088210125168,0.02900420198185149,0.05794532018820981,0.007505228290489421,0.02869929204760098,0.003668054035837169,0.04450711074925702,0.06109579824448329,0.028126941917766126,-0.005929689347335879,0.008611578962892396,0.04369513148904684
HALLMARK_APICAL_SURFACE,0.02743731585674666,-0.13332399114314344,0.02188959438191933,0.04810551404845825,-0.05775744868131119,-0.03302093833987022,0.02357613894307466,0.03922724928282954,-0.009133182133129792,0.01842594341443845,0.06428625580850242,0.02534472131652372,0.051852392795214766,-0.007465691680608494,-0.003685219335620602
HALLMARK_APOPTOSIS,-0.03857107121324917,0.003386580133674861,0.05223633467129336,0.037999395078634784,0.0659591256509769,0.03788194464561429,0.01137843647331187,-0.021667585811415407,-0.03759909195139873,0.07650647051270776,0.0291790185019419,0.00044647729661265347,-0.039755624692076594,-0.026064426728245327,0.04343392462425938
HALLMARK_BILE_ACID_METABOLISM,0.010223406621241458,-0.05605854288834453,-0.016077016821561072,0.029397246732761645,-0.007073326115593912,0.009113217813724019,0.00573329146098324,-0.01855911586314017,-0.03068790004632952,-0.008149862767254283,0.069787888295818,0.03206870038523515,0.044970885890223154,0.007140342238133765,0.06687313440866754
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.0853428475486177,-0.03908375825392361,0.026498802679848433,-0.08668473534117009,0.06761142297122097,0.07059852727221418,-0.00952959960884026,0.07731876883323469,-0.020058423005489063,0.051134056996331174,0.12394034104737583,0.04055890801036263,0.05015364509820604,0.034759836492788326,0.07776771423419031
HALLMARK_COAGULATION,0.054900354133581804,-0.10260582714096214,0.03944684948722659,-0.02582674148125435,0.006057148246384653,0.05133749101018918,0.031327767883565685,0.034537144007049256,0.03224324180670688,0.007078401876359861,0.033582196044687235,-0.04438079529042041,-0.02974288037974205,-0.01358271880262483,0.021176606439643204
HALLMARK_COMPLEMENT,0.045483511575929614,-0.014125803015598862,0.01155396046976317,-0.03666683286612275,0.019213978986386892,0.05891754102347195,0.043539866988617795,0.08390013769090227,0.06286725100902722,-0.00393802475147784,0.05896037611231809,0.004374289732159687,0.045718447249669246,0.051662671974550524,0.035894339570369874
