,UKF248,UKF260,UKF266,UKF313,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
HALLMARK_ADIPOGENESIS,0.08337596798718996,0.058834421270244124,0.011853753712820499,0.029198571447485423,0.026069580614805982,0.1110354814298556,-0.05113503288451435,0.008917970076832479,0.17055878274384823,0.08785971574583555,0.11275802960436243
HALLMARK_ALLOGRAFT_REJECTION,-0.004602709777779232,-0.015007250424350516,0.07304727904170581,0.08410977478597216,0.033709535750945756,0.048920224120842744,-0.0323077961454807,0.05054809973507951,0.10814966654501158,-0.014655878645571937,-0.0008093039811039
HALLMARK_ANDROGEN_RESPONSE,0.030613642110859075,0.002452065051445037,0.0664377671949779,0.07049668641060032,-0.004187213923180524,0.11296881516246311,0.03856772667089517,0.04139686462905303,0.24318492058914978,0.11496138974896837,-0.03037681607435461
HALLMARK_ANGIOGENESIS,-0.07569129608507086,-0.030033522027132067,0.09785804273940285,0.03646406039849659,0.016660421782787222,-0.07622905218779605,0.03478045369910903,-0.040850815322143824,0.009323010571340136,0.09991204282980758,-0.17629031647293109
HALLMARK_APICAL_JUNCTION,0.053724650719838514,0.05692501740336639,0.0636588868124607,0.04965069554833777,0.06369944192937375,0.1147059859721599,0.02952144706129551,0.030720957762520738,0.22854161000197704,0.09674826950971517,0.148080338892373
HALLMARK_APICAL_SURFACE,0.08789844446755797,0.08331279472370552,0.033311780035710545,0.047341730845561696,-0.02176528558164022,0.07634782836674125,-0.02098561649998621,0.017903251619360964,0.1841421544137366,0.06531750416708616,0.12450784877765317
HALLMARK_APOPTOSIS,-0.000813904993926262,-0.029101408920632843,-0.014577789090513275,-0.05715678515230943,0.04005935644329331,-0.048951352228613076,0.01772540436573354,-0.005475359257256144,0.01418524976219732,-0.04122971487908558,0.14326779924355437
HALLMARK_BILE_ACID_METABOLISM,0.03403203415487104,0.041756891286981256,0.11087311069911215,0.0017964795543979905,-0.02291824836403758,0.10827485375552394,0.021609962113518708,0.009242046553660984,0.06989553168603241,0.08433628695417268,0.02420783633099268
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.032103762923880654,0.08503851381316342,0.08925624848304664,0.050481359792615824,0.010945053607209175,0.11603789987576504,-0.04567456821129367,0.08592124274637926,0.14783320595407107,0.054638999240246046,0.0833258787958775
HALLMARK_COAGULATION,0.02176271084220492,-0.020771947769205934,0.02500318292839349,0.07079675821298029,0.027064150774063014,0.02133052788941167,-0.06084951043695091,0.02328170356900608,0.16157175313310676,0.06659369075930284,-0.019329777515636026
HALLMARK_COMPLEMENT,0.05939800029263052,0.009106218933368826,0.05730129946647696,0.05733338686383446,0.05819642192677726,0.03559027266589512,-0.05636247669821803,0.05410683708878048,0.1473725997458594,0.06438969152863273,0.11712136532380144
HALLMARK_DNA_REPAIR,0.07919728672098984,0.04213273025007473,0.09826003057091524,0.0657975977086249,0.003357611015788354,0.14308559743316757,0.004674077985402029,0.07335606101610744,0.1789445690508476,0.08649742423290539,0.20102020850144176
