,UKF259,UKF260,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
HALLMARK_ADIPOGENESIS,0.018402781938919588,0.051887817349282966,0.08774185893033899,0.06518287718213979,0.1045780902302222,0.0584992230929966
HALLMARK_ALLOGRAFT_REJECTION,-0.060400718592614734,-0.018994596024824957,0.059769651661634726,0.056782552494122444,-0.03527194468280828,0.05063242202558377
HALLMARK_ANDROGEN_RESPONSE,0.09620206293838542,0.08119976949292378,0.039586126392922805,0.11687837215091029,0.09959316972553281,-0.005757695273068553
HALLMARK_ANGIOGENESIS,0.12576459059488104,-0.01655132991938591,0.023917288533933368,-0.023044783576610762,0.05171332097272023,-0.04578172059867556
HALLMARK_APICAL_JUNCTION,0.0047709182357328385,0.034100086471024506,-0.0036513547677338672,0.07760239121698882,0.11411151033847126,0.10592291938974495
HALLMARK_APICAL_SURFACE,-0.03685112190989735,0.07336661872388052,-0.017912816924291634,0.03692978450758214,0.0521899751393047,0.10353023833432402
HALLMARK_APOPTOSIS,0.02870701183561042,0.0273186469412009,0.025194668259263996,0.13426872026764927,0.022537018182532464,0.0361833093348116
HALLMARK_BILE_ACID_METABOLISM,-0.010224393254049549,-0.0088291995827754,0.050888058106304424,0.08682618833650027,0.08536771861195504,0.002496829558816821
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.07024742185266286,0.023376969290251334,0.0516103381510688,0.07776342707975412,0.08418503314790556,0.025648455518954578
HALLMARK_COAGULATION,0.0007227601774473314,0.021124878029334073,0.08662466148889449,0.06214547084392585,0.10279786396143403,0.01693321620171128
HALLMARK_COMPLEMENT,0.029003665575171037,0.027916028654929075,0.09366223887547317,0.08963288178318732,0.07105720143006862,0.040275995814888194
HALLMARK_DNA_REPAIR,0.0890671655447566,0.08340932439421718,0.026905523510075916,0.07462871264100697,0.10552693050725159,0.10090982938495918
HALLMARK_E2F_TARGETS,0.006548091824418061,0.029639044817672575,-0.038831091277759695,0.0870045946544747,0.06947460072129845,0.0804437939293285
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.11307788700166081,0.03166680558231905,0.03465181024060432,0.08466798781745537,0.08842959651960466,0.07280677164787291
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.001962707266320768,-0.0007600566346326441,0.03576665498266435,0.09454682343034712,0.11607586803799701,0.14350362240329367
HALLMARK_ESTROGEN_RESPONSE_LATE,0.01294727755986233,0.017042479661068408,0.06282855697920885,0.10108478825991629,0.05214582742301424,0.12335686876456184
HALLMARK_FATTY_ACID_METABOLISM,0.09723494893555028,0.0630832507188936,0.01718514060871684,0.06271406577785368,0.06484096123538961,0.08993760970051162
HALLMARK_G2M_CHECKPOINT,0.04761121685178547,0.04683361688776264,0.03209072224199559,0.11274243778944178,0.08594144285518589,-0.02672612039150793
HALLMARK_GLYCOLYSIS,0.0975408639015166,0.030047392715867927,0.0029887938089328517,0.09339733241308698,0.11120535237602967,0.11657966981295954
HALLMARK_HEDGEHOG_SIGNALING,0.052795715038027845,-0.005502031877465755,-0.03708414663202455,0.056348332290566086,0.0691115648165669,0.03816168391004849
HALLMARK_HEME_METABOLISM,0.08025990532228536,0.026410152362795286,0.04060389027585771,0.10334586793066902,0.13200543853122104,0.03256895397661786
HALLMARK_HYPOXIA,0.12405237120483678,0.029118611743517632,0.031134880766669825,0.013147691447537411,-0.01643968318035779,0.09126577262705451
HALLMARK_IL2_STAT5_SIGNALING,0.08453117861390129,0.07769251008641663,0.06142720706805784,0.06314740907080905,0.07819170443549632,0.0009883196025358748
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.05355385294681702,0.057968082869896305,0.014979604971452157,0.09056903646437733,0.11120402141661176,-0.10380532079898643
HALLMARK_INFLAMMATORY_RESPONSE,0.06513460518195929,0.012319371154144157,-0.007671568519124104,0.09895660095935388,0.09895843587113283,0.05809369863758767
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.061223455492129826,0.047269612049108685,0.04701573898606267,0.05363623080914206,0.07907814186134196,0.008076623096470942
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.09695790630174304,0.04893209508968898,0.07292978642775473,0.11323805088543874,0.06687758057388452,0.008083433109694756
