,UKF248,UKF259,UKF269,UKF275,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
HALLMARK_ADIPOGENESIS,0.026114255689314952,0.0019427618227989382,0.16233533539675146,0.0802134733675717,-0.014870898311834614,0.07493056622309509,0.025188417697785476,0.08756691860711845,0.09172445656743736,0.04150751403298091
HALLMARK_ALLOGRAFT_REJECTION,0.0165289279580707,-0.010600907842859513,0.18380392561170353,0.0274945102742047,-0.009915597554319892,0.048016024633273875,0.028823167331926712,0.07057322625989516,0.041218118276523504,-0.0029949315513594587
HALLMARK_ANDROGEN_RESPONSE,0.02022444121868791,0.02287813954310276,0.17258227580434407,0.014323285666780351,0.003749604113846589,0.0942819743000266,0.0021583307291954054,0.06268209361596125,0.004148532809253201,0.0574961514509322
HALLMARK_ANGIOGENESIS,-0.03249416893542872,-0.0661812829974559,0.1908159142950597,0.008955681323479257,0.06365157140621078,0.03625105690403162,0.001866729287705313,0.08848215101430955,-0.053762662588825734,-0.0005401565652271927
HALLMARK_APICAL_JUNCTION,0.03283130842099451,0.0034331023728738233,0.17522328751336233,0.09416930207724535,0.0354144823508516,0.06800957554662415,0.03216178734795148,0.07374679092615857,0.07001430804049003,0.026810567726045086
HALLMARK_APICAL_SURFACE,0.007874926166190045,0.022949439683779625,-0.09242783788652395,-0.058639928420985483,0.057663857371345675,0.08121707345687663,0.07737991044558955,0.07072067088951263,0.053617537798248405,0.007912953754901279
HALLMARK_APOPTOSIS,-0.0011046327437972915,0.04632181466635214,0.03428014345210608,-0.05910265825795332,0.002842676156620066,-0.08504860659090291,-0.045810077754264565,0.008521692235408178,-0.02297997099304547,0.041192797764518674
HALLMARK_BILE_ACID_METABOLISM,0.015414302074684876,0.06999856095203193,0.18407351259482782,-0.010675018802894553,-0.01292168957832271,0.09082812702880348,0.04025229771130927,0.02200767420335163,0.03992526760059809,0.04831991788844507
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.005095002271116735,0.023311219122131563,0.1541828440724358,0.0011295077680741528,0.042935470264570876,0.060756780374942504,0.02676437265926229,0.14463678423289553,0.05310566721550225,0.023914290699121675
HALLMARK_COAGULATION,-0.0036171594478446437,0.050005506183258976,0.1608690021671771,0.06507264997169225,-0.023341855461702154,0.020126442773135512,-0.008610454297521929,0.04052272727355583,0.0007301859927821606,0.016658322976670574
HALLMARK_COMPLEMENT,0.023914175751966447,-0.022758841899141898,0.18379590734652415,-0.0072763507772866986,0.026226541654619788,0.03667278235076585,0.01716514118682351,0.13266336404169896,0.07119967576228106,0.010820646903980474
