,UKF248,UKF255,UKF275,UKF313,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,-0.03730627227354354,-0.0722132676729844,-0.2388573562206439,0.016980696470888706,-0.15857311543273656,-0.12464688916367678,-0.09403745277100022,-0.011516472261003953,-0.055458324486542775,-0.04812161500885669
HALLMARK_ALLOGRAFT_REJECTION,0.0454023081483602,-0.07713021016392235,-0.22811495210499014,0.03683501047934437,-0.22894144716775683,-0.17142910585417356,-0.04138711338625048,-0.04046701695884461,-0.12882382437405385,-0.09262462431802122
HALLMARK_ANDROGEN_RESPONSE,0.03223245192991326,0.006616292514137982,-0.10896535081964175,0.06882715439927792,-0.06494301991740835,-0.08145156781573303,-0.040911095952314486,0.007531643109705642,0.059861762385468226,-0.01821614530575196
HALLMARK_ANGIOGENESIS,0.09984194951000527,-0.07355019013877524,0.11821702662279855,0.003175262159279909,0.11661638132405447,0.16779679228897246,0.024150937807068416,0.021834590894804023,0.02619259756369878,0.12078939450387811
HALLMARK_APICAL_JUNCTION,-0.031166170846179366,-0.10883758025395976,-0.13918845974869942,0.028342889030969185,-0.09568513110415462,-0.08315369553245251,-0.079222364132927,0.03727714754368167,-0.06817425856916137,-0.02506830712957402
HALLMARK_APICAL_SURFACE,-0.09991214934082737,-0.08059598217463974,-0.23796472487969855,0.04292842049772327,-0.12821210313905,-0.07955193764268326,-0.020088839401623093,0.033476066547746416,-0.11780629047910836,-0.12336012902708862
HALLMARK_APOPTOSIS,0.09190314026508707,0.08538446575796604,0.12004417362677615,-0.0018342533450503005,0.27421814211762735,0.2132529487879646,-0.04517935700853681,-0.04440839871320372,-0.0982770317607329,-0.03725194849959793
HALLMARK_BILE_ACID_METABOLISM,-0.04151539461398183,-0.08847421660583916,-0.23183509202988986,0.04665509676086029,-0.16784144204856027,-0.12232213865969434,-0.11648593382437655,0.06563145446366699,-0.03156462531868193,-0.03189678769262228
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.03941671602822271,-0.07926219592885285,0.10995614876487152,0.03422851817854916,-0.1774684992939533,-0.15047942459967995,-0.07416213666498934,-0.015785246419357128,0.05763544778999797,0.015953047551058662
HALLMARK_COAGULATION,0.03185323523098913,-0.06814404378973922,-0.21672441987910634,-0.02149554383472729,-0.028138219050402508,0.0013725495190318215,0.015082395133046591,-0.02521313382187174,-0.1719095291209807,-0.024231797074694948
HALLMARK_COMPLEMENT,0.06060289067590778,-0.058105644076092325,-0.02153320040264214,0.02907844011668784,-0.08130687548607238,-0.009656274217510809,-0.08714180862575005,-0.05727580279968211,0.043339769396153326,-0.033072679295311366
HALLMARK_DNA_REPAIR,-0.05511562951313506,-0.0011054594732451506,-0.20676425107510843,0.022174167856292677,-0.1450620715606561,-0.11619143744801354,-0.10510087122863357,-0.02002594245027173,0.04885654504332259,0.03854104554084218
HALLMARK_E2F_TARGETS,-0.06570183664931946,-0.13186744443697554,-0.22025887045866085,0.038715485469805674,-0.16587123030311807,-0.12258547362713357,-0.08381925639541468,-0.020049041293907173,-0.033157354816289106,0.0007682910599796859
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.10358853061726576,0.1270189644671609,0.19195030247299105,-0.01490487514719671,0.3070424859587526,0.31077527996953025,0.009331576183862711,-0.018829907695308293,-0.11454315559573458,0.06055978259997004
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.08219584293923009,-0.05997913561891924,-0.03279445705974613,0.015233097490609152,0.045293819526157374,0.08265981631654222,-0.09558179723230127,-0.05127540630183779,0.08912457873827717,0.01691437648018097
HALLMARK_ESTROGEN_RESPONSE_LATE,-0.053833925514557436,-0.12316676368943795,-0.23643116665250974,0.020083127767268942,-0.21194399572183117,-0.14792327957421342,0.05727120837988694,0.033938618644576986,0.027462265065571815,-0.054397347909275286
HALLMARK_FATTY_ACID_METABOLISM,0.07512050575886921,0.12114972619546714,0.13915645949473396,0.01355129636350539,0.14326597423992796,0.1387132334162871,-0.008328665985826536,0.07565480668662346,0.1216165706387755,0.12012661834189847
