,ZH881T1,ZH916T1,ZH916inf
HALLMARK_ADIPOGENESIS,-0.06517429988714141,-0.02911824989618201,0.01112193122490348
HALLMARK_ALLOGRAFT_REJECTION,-0.045331504240499684,-0.0030375784440421416,0.08336119786609351
HALLMARK_ANDROGEN_RESPONSE,-0.028482027443565424,0.025739602305123344,-0.01242403627570492
HALLMARK_ANGIOGENESIS,-0.00017886343074351155,0.0844922494860992,0.2277765395360631
HALLMARK_APICAL_JUNCTION,-0.05634658579149253,-0.0009392342294592201,-0.029261009666586152
HALLMARK_APICAL_SURFACE,-0.019115549480504833,0.03404447713430738,-0.07921342178026035
HALLMARK_APOPTOSIS,-0.012845673305604028,-0.006281301249906462,-0.06749263528715034
HALLMARK_BILE_ACID_METABOLISM,-0.09255766219776133,-0.031094899365528006,0.06864058599417659
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.03150920158826461,0.008581055477422347,-0.046154951449944095
HALLMARK_COAGULATION,-0.08898722722525315,0.02435294775076429,0.07053174474178894
HALLMARK_COMPLEMENT,-0.020146005838617025,0.024178223545798603,0.020543186092332966
HALLMARK_DNA_REPAIR,-0.06448230162880605,-0.02729772701636587,-0.00881013466993689
HALLMARK_E2F_TARGETS,-0.025797365134084985,-0.020749116230681784,-0.016072217451274597
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.002505018802815459,0.04801762809685073,-0.06266938053767655
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.03387882580461048,-0.027621939030035073,-0.02527210719964458
HALLMARK_ESTROGEN_RESPONSE_LATE,0.02921958390861435,0.036840956633586684,0.019529708796041465
HALLMARK_FATTY_ACID_METABOLISM,-0.015338406799106271,0.03444885705981987,0.00668806853269999
HALLMARK_G2M_CHECKPOINT,-0.011313701705330238,0.005240920656236133,0.042194649864614645
HALLMARK_GLYCOLYSIS,-0.015001368792086465,-0.002940296781697186,-0.012594785872636722
HALLMARK_HEDGEHOG_SIGNALING,0.015973432035227192,0.05777567122114959,-0.013961871711579558
HALLMARK_HEME_METABOLISM,-0.04812720592515161,-0.0045489323028202605,-0.017745226410126533
HALLMARK_HYPOXIA,0.05624367516200272,0.051495225361757616,-0.0146523120331442
HALLMARK_IL2_STAT5_SIGNALING,0.015572812521908242,0.025685931302508715,-0.01881393478332992
HALLMARK_IL6_JAK_STAT3_SIGNALING,-0.036626340958563416,0.04942281730039941,0.006159120768415727
HALLMARK_INFLAMMATORY_RESPONSE,-0.06137752499956924,0.025339495768056153,-0.09189992235667045
HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.06264963203560404,-0.02478868011471754,0.04907903505614086
HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.09946405639043279,0.01693876373934225,-0.0685815431950553
HALLMARK_KRAS_SIGNALING_DN,0.006971436568423519,-0.05933846018678085,-0.03971760089032438
HALLMARK_KRAS_SIGNALING_UP,-0.01667638947380926,0.03959767591849323,-0.029591151484070693
HALLMARK_MITOTIC_SPINDLE,-0.017713391378062496,-0.01883947353967977,-0.015530901037372037
HALLMARK_MTORC1_SIGNALING,0.0017126371836858761,0.057419348798000404,0.027492240911003895
HALLMARK_MYC_TARGETS_V1,-0.02100411328637988,0.005022541833972006,0.01358259238670158
HALLMARK_MYC_TARGETS_V2,0.011030702571320244,-0.024993010335823577,0.027613904860708378
HALLMARK_MYOGENESIS,-0.04707572829385566,-0.02064875635052705,0.07638263461290347
HALLMARK_NOTCH_SIGNALING,-0.07040984503137009,0.0001287422126424105,-0.02143053946463415
HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.062140552716353936,-0.016605132925674622,-0.01231344447146587
HALLMARK_P53_PATHWAY,-0.0214368045574701,-0.026790148977449885,-0.07118611631782099
HALLMARK_PANCREAS_BETA_CELLS,-0.019666984262940952,-0.0045460513000457675,-0.07029541796480542
HALLMARK_PEROXISOME,-0.0027688697323031333,0.014338133026609355,0.052269653986082805
HALLMARK_PI3K_AKT_MTOR_SIGNALING,-0.02945007861441006,-0.013395410704718834,0.017175879576439117
HALLMARK_PROTEIN_SECRETION,-0.03378220985593697,-0.0059583651937547034,0.0006522971693874661
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,-0.029595585821461597,0.04980476936183897,0.06685724453191617
HALLMARK_SPERMATOGENESIS,-0.03552036350030406,-0.023734183201473386,0.1408207839061623
HALLMARK_TGF_BETA_SIGNALING,-0.033939851675816896,0.008076890684267646,0.0221483100937411
HALLMARK_TNFA_SIGNALING_VIA_NFKB,-0.005011567618176889,0.03034935643765087,0.039983176800996445
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.09811453391079153,0.016481430388813403,-0.02301746054773611
HALLMARK_UV_RESPONSE_DN,-0.032762761432816596,0.01037805987025958,-0.01787189486586106
HALLMARK_UV_RESPONSE_UP,0.031132333613854556,-0.013837855508126053,0.0017499953754488273
HALLMARK_WNT_BETA_CATENIN_SIGNALING,-0.047013752148344905,-0.06872152149429085,0.08599107874992304
HALLMARK_XENOBIOTIC_METABOLISM,-0.08762990575929704,-0.04045991549730944,-0.008132011137824432
