,UKF251,UKF269,ZH1007nec,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.03291444991611738,0.023166806385200026,0.17870379679252418,0.022812127477966758,0.033381705162045354
HALLMARK_ALLOGRAFT_REJECTION,-0.0022942115641173813,0.086390566094276,0.025490152827796795,-0.030608996646567733,0.02696453038002661
HALLMARK_ANDROGEN_RESPONSE,0.04329236888769549,0.026199832131542578,0.10627108799594366,0.016811873264083694,0.06500012375680884
HALLMARK_ANGIOGENESIS,0.012704614563467508,0.08904278181185925,-0.040086956011301696,-0.023186321092910512,0.03721772107986808
HALLMARK_APICAL_JUNCTION,0.06660750672890878,0.07419485905645981,0.18533056818993984,-0.013254387167093906,0.039635505554009014
HALLMARK_APICAL_SURFACE,-0.00827450022075904,0.00579476373562358,0.254278122744375,-0.02095828506925919,-0.019393918132607012
HALLMARK_APOPTOSIS,0.021229019400906837,0.0375631643562149,-0.035535228780977215,-0.02130230937868312,-0.004904655110149415
HALLMARK_BILE_ACID_METABOLISM,0.03346133218342945,0.06484852936551155,0.14631180750039105,0.02380248330686584,0.10608712116874323
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.06341744965157957,0.00975502942030932,0.10520845950508138,0.07659731418629415,0.05599116865228266
HALLMARK_COAGULATION,0.012431953988103879,0.08438782743469388,0.15900881035324124,-0.05812176609523989,0.029969976267600104
HALLMARK_COMPLEMENT,0.012033949792769389,0.10365417653827144,0.10531825331547537,0.010097345177820584,0.0358631050134359
HALLMARK_DNA_REPAIR,0.09641634647607764,0.052413399422523745,0.20291041337448815,0.03446809166795393,0.08093021271902977
HALLMARK_E2F_TARGETS,0.08633122152788154,0.024266670042351696,0.1545003771620146,0.056532799420253695,0.04678301563306997
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.016353904232766402,0.1086171202848226,-0.025013361714631432,-0.02329870806578197,0.03014046423375326
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.024913900876364175,0.02971823755758706,-0.010381264823280046,0.010842202279265224,0.0623566166211057
HALLMARK_ESTROGEN_RESPONSE_LATE,0.004135102542590892,0.022855855234374185,0.21103630052028338,0.063483006486787,0.019695991695626937
HALLMARK_FATTY_ACID_METABOLISM,-0.028532178840807672,0.005653366821022872,0.02823491856149084,0.02514770454030677,0.06482980029210297
HALLMARK_G2M_CHECKPOINT,0.0765841505942128,0.052632693636751444,0.10289857460056197,0.059675683878202775,0.06388734482479358
HALLMARK_GLYCOLYSIS,0.04725757610354664,0.04692534406541517,0.11547137350362702,0.031216762606505,0.07642815711712882
HALLMARK_HEDGEHOG_SIGNALING,0.01142482935896767,-0.015851299242860616,0.04057992274451207,0.022917274154036667,-0.045867349448747444
