,ZH916T1,ZH916inf
HALLMARK_ADIPOGENESIS,0.022042762636504613,-0.04048468892381675
HALLMARK_ALLOGRAFT_REJECTION,0.022490606719161716,0.02253379303415741
HALLMARK_ANDROGEN_RESPONSE,-0.008434876860260144,0.03783055382265385
HALLMARK_ANGIOGENESIS,0.0005931910397838726,-0.042838672542461806
HALLMARK_APICAL_JUNCTION,-0.009796022180336369,0.029304632106434723
HALLMARK_APICAL_SURFACE,0.008013814536327322,-0.008520230053973957
HALLMARK_APOPTOSIS,-0.041047008620768516,-0.0307333648813478
HALLMARK_BILE_ACID_METABOLISM,0.02217812582680275,-0.036173631427212534
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.0158666912921886,0.016990741764217963
HALLMARK_COAGULATION,-0.03955471264578847,-0.038217147425520355
HALLMARK_COMPLEMENT,0.03013311359077572,0.009760447442244313
HALLMARK_DNA_REPAIR,0.030669480792273968,0.011995261882630923
HALLMARK_E2F_TARGETS,0.015740968067114242,0.034680616349295076
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.05127700693138637,-0.01798948201164505
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.02222419524185335,-0.006579352303138943
HALLMARK_ESTROGEN_RESPONSE_LATE,-0.009319300694341117,-0.01662871438001264
HALLMARK_FATTY_ACID_METABOLISM,0.03742496214013429,0.1009296816125873
HALLMARK_G2M_CHECKPOINT,-0.008432804393282561,0.002810048981268896
HALLMARK_GLYCOLYSIS,0.02916364907770502,0.05580191458612124
HALLMARK_HEDGEHOG_SIGNALING,0.03857443383392236,0.021241116097178724
HALLMARK_HEME_METABOLISM,0.047986777286179685,-0.06906080918809736
HALLMARK_HYPOXIA,0.06347562675169302,-0.018430523059959923
HALLMARK_IL2_STAT5_SIGNALING,0.05070384909522922,0.025641168592050397
HALLMARK_IL6_JAK_STAT3_SIGNALING,-0.004906713326857371,0.0792296333964333
HALLMARK_INFLAMMATORY_RESPONSE,0.01779603057131816,-0.007471206481638174
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.012365751824069165,-0.05519709177165556
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.03282803723688776,-0.036778705344424324
HALLMARK_KRAS_SIGNALING_DN,0.05286748337365855,0.02471114679614232
HALLMARK_KRAS_SIGNALING_UP,0.01823183194045688,0.03207701567578699
HALLMARK_MITOTIC_SPINDLE,0.008898902795981723,-0.001656901470212478
HALLMARK_MTORC1_SIGNALING,0.05934254622601718,0.03737101487204215
HALLMARK_MYC_TARGETS_V1,0.04372730524691668,0.03628604175655483
HALLMARK_MYC_TARGETS_V2,0.004302914655534932,0.029500701500689615
HALLMARK_MYOGENESIS,-0.030925875667768978,-0.033599723653432056
HALLMARK_NOTCH_SIGNALING,0.05929071716835043,0.12390143968641973
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.052392243324915676,0.01575525347766603
HALLMARK_P53_PATHWAY,0.027627748242999076,0.029403043457681338
HALLMARK_PANCREAS_BETA_CELLS,0.04916793474023545,-0.03137049624914641
HALLMARK_PEROXISOME,0.0358088145342097,0.04212641960311837
HALLMARK_PI3K_AKT_MTOR_SIGNALING,-0.001026267105189724,0.003945054318918804
HALLMARK_PROTEIN_SECRETION,0.01860671668703645,0.02044834287724907
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.09935778112150923,0.06788838954127693
HALLMARK_SPERMATOGENESIS,0.03974732266623439,-0.024330788911470898
HALLMARK_TGF_BETA_SIGNALING,-0.004832813365040711,-0.01146233815446832
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.03558775203375748,-0.03545384540548577
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.03548665504723315,0.020946133146185
HALLMARK_UV_RESPONSE_DN,-0.029937973345035652,0.09973497659704952
HALLMARK_UV_RESPONSE_UP,0.03779246480955793,0.06741508179008682
HALLMARK_WNT_BETA_CATENIN_SIGNALING,-0.00432651721514915,0.02364216055549072
HALLMARK_XENOBIOTIC_METABOLISM,0.025564954065625294,0.06096701437270616
