,MGH258,UKF243,UKF255,UKF259,UKF266,UKF275,UKF296,UKF313,UKF334,ZH1019T1,ZH8811Abulk
HALLMARK_ADIPOGENESIS,0.012303513844067847,0.07360434985975965,-0.06954973059406137,-0.02601777370762867,0.01970919677632746,0.017236486740040333,-0.025542622247995757,-0.004473797178417635,0.03166203177136474,0.06151830879153096,0.077949629107933
HALLMARK_ALLOGRAFT_REJECTION,-0.02052219411743911,-0.05494489029899444,0.00833820068716468,-0.041712954729139,0.031048793905593376,-0.007275956242224928,0.002557082029241805,-0.028340422027194452,-0.006193009156149255,0.02380659326758191,0.01596219699717589
HALLMARK_ANDROGEN_RESPONSE,-0.01623680246384084,0.06185595565494216,-0.009154827505090134,0.04747943430251349,0.04909808686980008,0.021809520512378264,-0.021743414222494723,-0.04641652683218505,0.06756348877811755,0.032246035762588825,0.08141748277230207
HALLMARK_ANGIOGENESIS,-0.006195686083179513,0.05450111234415473,-0.05424773255376943,0.02271037357801085,0.021794428185618477,-0.08183527543663928,-0.029308098815060052,-0.015434962521675031,0.10275902181656463,-0.03887102951066003,0.05573421815330918
HALLMARK_APICAL_JUNCTION,0.05135446798263676,0.07102649652498476,-0.0801856475601982,-0.028539183340714626,0.06118131156423776,-0.045155571606097705,-0.016998143621240407,0.0067685370220383866,0.04987365152984987,0.003979247788548015,0.07805537866110432
HALLMARK_APICAL_SURFACE,0.023642534491036208,0.1204696132059131,-0.0800857709287273,-0.07800556454675102,0.03984889534497586,0.03320686171792255,0.01703068087362974,-0.02717133113074941,0.09716236747564021,0.0518759610907335,0.11145351031695583
HALLMARK_APOPTOSIS,-0.013701027407165159,-0.04046258308281378,0.0364160190116898,0.05272766218342827,0.0022374909461250624,-0.02853591454836127,-0.05390087359321742,-0.036162722038307386,-0.02378995966396797,-0.05178560565849581,-0.03178342096315573
HALLMARK_BILE_ACID_METABOLISM,0.013505614180974212,0.008342646370243225,-0.05158659088631718,-0.05388200118576957,0.056607072209650465,-0.07291792028175241,-0.032290416903948536,-0.012638564992434626,0.05018525738951645,-0.03816804109725017,0.06517633935850169
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.0021100609960658925,0.045086396942602434,-0.03147909847418736,0.012147826955900526,0.05317679735292369,-0.09417480460684928,-0.021764296782396164,0.016831631658623673,0.06212172401304671,0.03871906624489658,0.08610643650130646
HALLMARK_COAGULATION,0.0206737390683627,0.038228124067887045,-0.08153407276548247,-0.0684958966294583,0.019525728785046947,-0.04536572542216856,-0.03457289621223989,0.009474485010819678,0.0029365545037669445,0.008139642217582213,0.06574195662359839
HALLMARK_COMPLEMENT,-0.0381578496336984,0.03152262281684874,-0.08257863632308975,-0.03156172088691855,0.002325576501164558,-0.062770516338093,0.002879991260042265,-0.009039259486778459,0.02857570563108712,-0.03113926002117898,0.0701325522375073
HALLMARK_DNA_REPAIR,0.02961607844748019,0.12907035559961455,-0.06749832170022742,0.05485407383128234,0.06634329476245054,-0.014882023463574407,-0.020563849841416043,0.026104828659202384,0.10052358290868785,0.02518503449771968,0.09181798220034831
