,UKF243,UKF248,UKF251,UKF260,UKF266,UKF269,UKF296,UKF304,UKF313,UKF334,ZH881inf,ZH916T1,ZH916inf
HALLMARK_ADIPOGENESIS,0.054772401504750774,-0.007169150640056207,0.012830590466060736,0.2032687287016748,0.03654934074416326,-0.11559310176531504,-0.043068369574637715,0.25701899989437715,-0.05368585013682232,0.19892697513036675,-0.024899048987758056,0.13548625265645126,0.14865984739547655
HALLMARK_ALLOGRAFT_REJECTION,0.07896665585617912,-0.06793626611447205,-0.0689060778411644,0.14384454114112294,-0.31634353151532435,-0.2827791127849764,-0.056061890299035466,-0.5664891017879652,-0.04892135916739632,-0.27200811647137063,-0.06561280566685539,0.13806846311427293,0.036888043951036655
HALLMARK_ANDROGEN_RESPONSE,-0.0012214689181848488,-0.04761888268608959,-0.08694465021802521,0.3386090434507032,-0.24158257949975157,-0.2714368167735646,0.045375975519855186,-0.26449330590234227,-0.04808990514823275,-0.24087656401415183,-0.0032989486912591865,0.20889097510457197,0.08363438597836402
HALLMARK_ANGIOGENESIS,-0.21514296948669173,-0.0883255539941607,-0.0636074212244329,-0.45693029304649113,-0.28982797432284035,-0.37607815700550146,-0.15609301348526766,-0.5274511949389107,0.10032438077978194,-0.5789158980452299,-0.03325438819658006,-0.010923840743618992,-0.16724329556716416
HALLMARK_APICAL_JUNCTION,0.02972425890408835,-0.038714058330843924,-0.010979912709144578,-0.03365069579534691,-0.30384404484091193,-0.2705875795381675,0.0037077246249408,0.02388471800366865,-0.03643170353805384,-0.36432464752937993,-0.027360757147227795,0.06875561898334012,0.20245229334809192
HALLMARK_APICAL_SURFACE,0.16036453538661316,0.0024571083062674645,-0.009963754685494054,0.022398913255883886,0.16006372455496962,0.23450604119706453,0.16331107072311474,0.31785182066962625,-0.023071645699101907,-0.17266186107839773,-0.004338621934484686,0.09516513013974151,0.18489959328103614
HALLMARK_APOPTOSIS,0.002253628710438833,-0.06195829557574141,-0.02068264019550062,-0.030970621301412687,0.07913457173267503,-0.03843016490221474,-0.05253341305429674,-0.15481403521277376,-0.057545436910085374,0.31247513801762006,0.00711045013734185,0.16630834642421105,0.1983348620071374
HALLMARK_BILE_ACID_METABOLISM,-0.012119356624241562,0.03560334241640955,0.012263573428147819,-0.03166116904615679,-0.2028332978531292,-0.3613707788166474,-0.02228274628175169,-0.10675450737550825,-0.0747910820415586,-0.15369099677755907,-0.04055447605615562,0.10726684799458171,-0.03575460128056203
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.07814390157382237,0.0061492289115762785,-0.000518631069396817,0.06543680749491593,-0.2924382506434026,-0.21697230006492177,-0.017052286645073446,-0.41875609589879254,-0.056074098641742634,-0.4770019537128361,-0.08912134335857197,0.07398523862200691,0.03514885258810285
HALLMARK_COAGULATION,-0.05478962171938205,-0.06418992340494907,-0.041553401873135234,0.15268424259533614,-0.26391902357776387,-0.3273586316184734,-0.1585039316710883,-0.5958999432467861,0.08077612295529124,-0.35562409876842577,-0.13956623584568992,0.15640944283758695,-0.10965218684495479
