,UKF243,UKF266,UKF296,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
HALLMARK_ADIPOGENESIS,-0.0034379401013068466,-0.025771945349579314,-0.030002172585062513,0.08248670724208675,0.03665157480166864,0.16078271548980794,0.00023168291838495503,-0.023026584189352856,0.016061466513375547,-0.0553248940479447,0.09064698000838053,0.10964575683945742
HALLMARK_ALLOGRAFT_REJECTION,0.059699498954451646,-0.07571067196333836,0.02451218021491253,0.014913745626302948,-0.0586707411193397,0.12866515508906082,-0.01408951620228442,-0.025095036151384684,-0.021495488804107416,-0.06219063860176853,-0.04543352353890979,-0.0036121491516722015
HALLMARK_ANDROGEN_RESPONSE,-0.044909081143186834,0.004697938268691274,-0.026992254016612476,0.0525356566134942,0.02864386280530013,0.14352186940791326,0.026319036239527426,0.027980871707467738,-0.01360361362078755,-0.05799123150702109,0.1054412340119815,0.13507327371205985
HALLMARK_ANGIOGENESIS,-0.12090332755129728,-0.007066773752907054,-0.006007410287235617,0.032596996160770796,0.01442909856163351,0.005816798716661672,-0.0055368087333553875,-0.0397500134582381,-0.030813732283784666,0.042048057640556705,0.03927012419220794,-0.019869812336201605
HALLMARK_APICAL_JUNCTION,-0.03875787173039945,-0.06412567749053358,4.727238690623958e-05,0.0728070095984169,0.010012850152129542,0.14843792949646364,0.007792073863823134,0.01907925810990841,-0.021873873604569126,-0.056031255653786964,0.0834391757976574,0.1407129055879009
HALLMARK_APICAL_SURFACE,0.023890017763987394,-0.06367915154281975,0.00832799895399004,0.045430969739312176,-0.029041083971749388,0.1293239701797743,-0.015336014472811969,0.0682054301547964,-0.04283432214938572,-0.03158331997192646,0.08747234946186636,0.09423383288819898
HALLMARK_APOPTOSIS,0.021770989302503905,-0.003066533958614468,-0.0034566831824184847,0.008674353633186433,0.012651256009222624,-0.06996552347513289,-0.030069853560683032,0.005287807934641595,0.014556768164730994,0.018003614805689842,0.013591428013320075,0.05466854706430166
HALLMARK_BILE_ACID_METABOLISM,-0.036516004049950215,0.010818350896576233,0.011084745252246824,0.07471316138121013,0.0420904375106662,0.14501043299941152,-0.02913756664836397,-0.025823014482569264,0.00552525264841689,-0.05159759347765539,0.07825481347356848,0.01258131977846805
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.0025320060548669563,-0.03923691768500577,-0.03967946245110461,0.04351805215152324,0.029196816260555706,0.16326279218842704,0.019523169128681774,0.05494431402371539,-0.022515182498904815,-0.06454454653890788,0.07142879383042885,0.08475628949805379
HALLMARK_COAGULATION,-0.016994464839267132,-0.035866878686784294,0.020889831011848832,-0.012070105092546055,0.013888242729432869,0.13716706289482627,-0.009026207320032877,0.03987053143676731,-0.005517550931948812,-0.053491139202085175,0.09629569941275763,-0.01090178499472455
