,UKF248,UKF259,UKF260,UKF304,ZH1007nec,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.03402797078723121,0.028480942279265915,0.00645669372219993,-0.024686519216132498,0.0726917628948328,0.07161339302168926,0.030871427321979315,0.13266659164653632,0.10854298022119933
HALLMARK_ALLOGRAFT_REJECTION,0.026140393717218442,0.0360862591335445,-0.014147565047262374,0.13085972966140888,0.11168425524410651,-0.06532175943936176,0.015745091348963194,-0.02583586126724624,-0.01027931543602441
HALLMARK_ANDROGEN_RESPONSE,0.06900204584917298,0.009956560289459408,0.0645936524719145,0.09348226779653807,0.04033219269958382,-0.015812167436744195,-0.011663998959488222,0.12877661067288532,0.14253362000641476
HALLMARK_ANGIOGENESIS,-0.03102882474864043,-0.06966994828938175,-0.01991376398660532,0.07398192204830906,-0.01676206910488128,-0.026704886367802955,-0.054212840372737346,-0.031518867631454985,0.12527991740146016
HALLMARK_APICAL_JUNCTION,0.051872269753640246,0.031419376941178544,0.021435122230290836,0.04314301503635007,0.07545932994270631,0.033984427904281064,0.04673002699771504,0.11747772153437254,0.11898438324893498
HALLMARK_APICAL_SURFACE,0.049617634192105235,0.041836774945895015,0.015353415857618813,-0.06042024092605232,0.061390425651653834,0.13325871027184769,-0.02068789169519066,0.15244439581345795,0.04200554228008832
HALLMARK_APOPTOSIS,-0.002883446991582826,0.03298664515966515,-0.03861271917901646,0.08471816456880514,0.0004956481173588132,0.02439036261289853,0.01865723625523245,0.007665075621150518,-0.02361225616524679
HALLMARK_BILE_ACID_METABOLISM,0.02099950746393038,0.03329865716740374,0.04843916288615868,0.10184272359480907,0.07466009110159694,0.06691698172199387,0.023494499198735034,0.13225865349387878,0.09549920645223424
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.012451737733045776,0.0183731062571093,0.09021349346156282,0.1163190762591127,0.011233076844534031,0.02916351441199135,0.03517522747736653,0.16777569281091595,0.06778833968659813
HALLMARK_COAGULATION,0.04320547554763295,0.05388060487777678,0.10467473510280977,0.13301257089568008,0.024867191204827308,0.0080414949551554,0.0021665193592825824,0.06015374566748118,0.011457104200161612
