,UKF248,UKF251,UKF266,UKF269,UKF275,UKF304,UKF313,ZH1007inf,ZH1019inf,ZH8812bulk,ZH916inf
HALLMARK_ADIPOGENESIS,0.1265519323660889,0.07583954182383565,0.05480240130423028,-0.004875716001336238,0.03476055293659213,-0.130230948147371,-0.13387477520443117,-0.07946121349791056,0.03630131650639055,0.013045613113148525,0.16097635852491596
HALLMARK_ALLOGRAFT_REJECTION,0.020139414083866696,0.08442564126737837,0.40892292223855997,0.016799997769034482,0.024112161338007254,0.31899256019351213,-0.10699976590961457,0.04680739576441921,0.0444284779659943,-0.005483557246022087,-0.010288728534620189
HALLMARK_ANDROGEN_RESPONSE,0.06077542462157386,0.08011019680392899,0.3299468575951937,-0.0173727055647648,0.04343167277029505,0.1650132404624613,0.01417628684583023,-0.006596695618637406,0.06724555984047353,-0.008343313242908976,0.054237872913790085
HALLMARK_ANGIOGENESIS,-0.16309248416446123,-0.14471807815390153,0.4898860182754497,-0.036070777724794854,-0.05311279897945114,0.20320925037513235,0.13699695965666758,-0.04197977070141326,0.024106688880197437,-0.0660797586585704,-0.16101884872514888
HALLMARK_APICAL_JUNCTION,0.11575286858373432,0.1513058741771744,0.4604968416412909,-0.06722973203566285,0.017033366852721683,0.17803092857850397,-0.13257429375771715,-0.048048455650925255,0.09488115895169469,0.042938228652943417,0.1500488834344427
HALLMARK_APICAL_SURFACE,0.16528979271599326,0.006851908862511193,-0.2401921890606868,-0.025326862265460062,0.08387487926996919,-0.2593796441446944,-0.12774123657490885,-0.013196406655256605,-0.025076805579666947,0.034054311704349895,0.10826584529016711
HALLMARK_APOPTOSIS,-0.01322565707777843,-0.05978962111060642,-0.061900005765206385,0.0566516281320449,0.05190977756469701,0.26307811984049456,-0.061090368877338264,-0.03887214174453116,0.05567423068444134,-0.012490573962682121,0.07060362035214503
HALLMARK_BILE_ACID_METABOLISM,0.09622409451219559,0.11709979369938492,0.26590353494074315,-0.032408387689880934,0.03909377219520123,0.040157794876707634,-0.06329745479573451,-0.06811597785426027,0.03928413860009078,-0.01327485537907665,0.008172159142076653
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.19010011290690343,0.05252490713754702,0.4055126030087436,0.0338824868434673,-0.01043439821163509,0.19963724900103122,-0.11608532793023912,-0.010393081518066425,0.05964018411140328,0.032451305530171705,0.06376840379128357
HALLMARK_COAGULATION,0.06440265973895262,0.018808876169227186,0.38053073241051505,-0.021945319485806875,0.019669346675761874,0.3510176090656421,-0.005395745169359682,-0.009590329950639215,-0.029753776389339695,0.0006726991296268544,-0.04083897215457056
HALLMARK_COMPLEMENT,0.022672402417855408,-0.06680266997110382,0.09221577579516596,-0.010142607977158184,0.04752197603734216,0.2953337740092951,-0.11074609373189598,0.011326298480862704,0.08658580405861659,0.006423563799048002,0.13264617528025466
