,UKF248,UKF251,UKF269,UKF334,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1
HALLMARK_ADIPOGENESIS,0.04300432309733365,0.050396594268481844,0.03814512681937365,0.015803722849413147,0.040528493793420314,0.0626456495644826,0.08932290425408293,0.058549006265660786
HALLMARK_ALLOGRAFT_REJECTION,0.024981032017450753,0.05235446119366428,0.07516023371871228,-0.04402355867369923,0.039158357751311594,-0.003051643020113297,0.06339303957649434,0.05159884059798775
HALLMARK_ANDROGEN_RESPONSE,0.05857227059466256,0.05904526943756781,0.06112651040739675,0.049581571589964346,0.03391723344446877,0.04885010003131206,0.05732401432685077,0.11340913059997344
HALLMARK_ANGIOGENESIS,-0.023068744602045107,0.00901692300802324,0.08569473003188363,0.030317104223884478,-0.14060117395725374,-0.012072094783455431,-0.001115892463516553,-0.009425023346063573
HALLMARK_APICAL_JUNCTION,0.05884913870209146,0.05492544673039807,0.09361360621253396,0.044363962504996995,0.014775583928516007,0.03302585565965999,0.09949548783277853,0.030595025403718373
HALLMARK_APICAL_SURFACE,0.10122272483576243,-0.017049877207356928,-0.07287584781284157,0.08150064907369056,-0.0064686960738615995,0.044279000272173574,0.052453603518809955,0.054155953327919296
HALLMARK_APOPTOSIS,0.010302726966980744,0.025164880231824442,0.055505125243225026,-0.07636369625965084,0.0046747186295187735,0.03688311752796672,-0.03718532644896762,0.05993669911426917
HALLMARK_BILE_ACID_METABOLISM,0.043594838227495006,0.016278929062118294,0.09575408100103987,0.07362491090028117,0.009197691191430466,0.014708007019815585,0.07296456701566684,0.0565872268182578
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.04311941949647883,0.02718652097357096,0.0592357147968399,0.07438826274810352,0.006510553339413725,0.08697332582353111,0.08312430882287301,0.016599283164754692
HALLMARK_COAGULATION,0.0216103352624882,0.004428391810975843,0.09999771245556079,0.0046731361509282235,0.08817575765205408,0.09173414258546679,0.0631551201974221,0.05353997551314695
HALLMARK_COMPLEMENT,0.01412003887403056,0.02435827845823921,0.07563098688287634,-0.025536506131222072,0.07458692040637832,0.06357231471699933,0.02515149475284766,0.06493813233615413
HALLMARK_DNA_REPAIR,0.08487066899383446,0.0934920678502142,0.06738806838996829,0.03139556727587959,0.012053613806564282,0.028905818732771968,0.07748978950411038,0.07569392552928313
HALLMARK_E2F_TARGETS,0.045004719985119145,0.05928622629364185,0.05734275110770862,0.034681103852732056,0.028108979392771186,0.027538095351901194,0.0291095028956628,0.010438410722496147
