,MGH258,UKF334,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.08692046162244857,-0.01979259196776685,-0.029373959039044863,0.0565559508650125,0.10504747280503973,0.16197648332474676,0.09639137607836692
HALLMARK_ALLOGRAFT_REJECTION,-0.06216429528441735,-0.015531666575744948,0.026832260322804426,0.14084870442504843,0.04928883005873767,0.09489272176576032,0.04976699651990921
HALLMARK_ANDROGEN_RESPONSE,0.06405686669554639,-0.011294199046082644,-0.12881595480926417,0.04026242265208797,0.1087362080415553,0.1446770977866347,0.09946299151791736
HALLMARK_ANGIOGENESIS,-0.05887709137850912,0.018138936282553825,-0.0471664908682677,0.06433962760356772,-0.01529392733679004,-0.028364121142073564,0.046847440471455726
HALLMARK_APICAL_JUNCTION,0.0898819201439802,0.06940659480025334,-0.048144487524704536,0.022234941040098682,0.09165082808745267,0.19246794159760638,0.08233021354532608
HALLMARK_APICAL_SURFACE,0.0877419310477111,0.051109564580424954,-0.052098303384811584,0.057912497421255545,0.1054337470280717,0.14482616611057708,0.07204619032289289
HALLMARK_APOPTOSIS,0.005351243403618067,0.019473695243408983,0.07674081690621595,-0.06062352437575929,0.009533931003379553,0.11086119477915153,7.431803666011437e-05
HALLMARK_BILE_ACID_METABOLISM,0.09684206314009791,0.008743487910052755,-0.08551590460225335,0.06029503504669249,0.08882503066286723,0.09452131199849949,0.07980637110913669
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.0420244916333851,0.10781649227071405,-0.06324090011298639,0.026668973522586716,0.1384445251710928,0.17973261752451825,0.05843464038816225
HALLMARK_COAGULATION,-0.09442988013151855,0.011321243985959538,-0.032518921504442265,0.048005508216934514,0.060146049569373,0.1534920473108028,0.03929055079751908
HALLMARK_COMPLEMENT,-0.050276825166795956,-0.01934149842829575,-0.0754170361845092,0.036344497708367,0.07285620411255109,0.19437266495960934,0.07069715016434985
HALLMARK_DNA_REPAIR,0.072555371054829,0.010454649851440708,-0.07535047147031368,0.031923038786659245,0.0952607213061075,0.14874851106600429,0.10472282091064652
HALLMARK_E2F_TARGETS,0.10266592514885133,0.025581066138650268,-0.12902221731113364,0.04587293102217272,0.1071587386524551,0.0843816659979585,0.10853477519440707
